MD,WOBA,SPPA,TQA,ROPA,RPMA,MFIA,HKLA,Gamma
1422.727,2.0819889783,19653.8504020411,12.2972687913658,19.958304,72.33,4311.50855976,97.0596953326,118.06
1422.806,2.0320938176,19664.3304331267,11.8905234068664,19.958304,89.98,4311.50855976,97.431641076,118.06
1422.806,2.0320938176,19664.3304331267,11.8905234068664,19.958304,89.98,4311.50855976,97.431641076,118.06
1422.892,2.0320938176,19664.3304331267,11.8905234068664,19.958304,89.98,4311.50855976,97.431641076,118.06
1422.992,2.2588900026,19598.416553404,10.6974036123347,20.708112,89.53,4311.50855976,97.4407129234,118.06
1423.001,2.2588900026,19598.416553404,10.6974036123347,20.708112,89.53,4311.50855976,97.4407129234,118.06
1423.093,2.2588900026,19598.416553404,10.6974036123347,20.708112,89.53,4311.50855976,97.4407129234,118.06
1423.111,2.4312551032,19569.2517300539,11.6058016377168,22.802088,89.0,4311.50855976,97.1277341881,133.28
1423.239,2.4312551032,19569.2517300539,11.6058016377168,22.802088,89.0,4311.50855976,97.1277341881,133.28
1423.264,2.4131114084,19632.6145495781,11.7684997915166,24.97836,89.07,4311.50855976,96.9735127823,133.28
1423.273,2.4131114084,19632.6145495781,11.7684997915166,24.97836,89.07,4311.50855976,96.9735127823,133.28
1423.306,2.4131114084,19632.6145495781,11.7684997915166,24.97836,89.07,4311.50855976,96.9735127823,133.28
1423.382,2.4131114084,19632.6145495781,11.7684997915166,24.97836,89.07,4311.50855976,96.9735127823,133.28
1423.416,2.5627968905,19633.1661301616,11.9447561247996,26.343864,90.0,4311.50855976,96.978048706,133.28
1423.568,2.5582609668,19591.314953392,12.5277578425821,26.862024,89.37,4311.50855976,96.9417613164,121.78
1423.574,2.5582609668,19591.314953392,12.5277578425821,26.862024,89.37,4311.50855976,96.9417613164,121.78
1423.608,2.5582609668,19591.314953392,12.5277578425821,26.862024,89.37,4311.50855976,96.9417613164,121.78
1423.687,2.5582609668,19591.314953392,12.5277578425821,26.862024,89.37,4311.50855976,96.9417613164,121.78
1423.721,2.4176473321,19576.7670155034,12.2159197144659,26.785824,90.0,4311.50855976,96.9100098505,121.78
1423.721,2.4176473321,19576.7670155034,12.2159197144659,26.785824,90.0,4311.50855976,96.9100098505,121.78
1423.837,2.4176473321,19576.7670155034,12.2159197144659,26.785824,90.0,4311.50855976,96.9100098505,121.78
1423.873,2.6489794408,19669.3636059507,12.3108269708491,27.136344,89.3,4311.50855976,96.9054739268,111.06
1423.977,2.6489794408,19669.3636059507,12.3108269708491,27.136344,89.3,4311.50855976,96.9054739268,111.06
1424.02,2.6489794408,19669.3636059507,12.3108269708491,27.136344,89.3,4311.50855976,96.9054739268,111.06
1424.126,2.7170182963,19680.9467982032,12.4057342272323,26.68524,90.0,4311.50855976,96.8964020794,107.26
1424.157,2.7170182963,19680.9467982032,12.4057342272323,26.68524,90.0,4311.50855976,96.8964020794,107.26
1424.178,2.6535153645,19617.5150311061,12.2023615349826,25.722072,89.42,4311.50855976,96.8192913765,107.26
1424.33,2.5900124327,19568.9069921892,11.7684997915166,24.90216,90.0,4311.50855976,96.841970995,112.69
1424.358,2.5900124327,19568.9069921892,11.7684997915166,24.90216,90.0,4311.50855976,96.841970995,112.69
1424.455,2.5900124327,19568.9069921892,11.7684997915166,24.90216,90.0,4311.50855976,96.841970995,112.69
1424.483,2.630835746,19602.1397223423,11.5108943813336,23.768304,89.02,4311.50855976,96.9145457742,115.61
1424.483,2.630835746,19602.1397223423,11.5108943813336,23.768304,89.02,4311.50855976,96.9145457742,115.61
1424.492,2.630835746,19602.1397223423,11.5108943813336,23.768304,89.02,4311.50855976,96.9145457742,115.61
1424.532,2.630835746,19602.1397223423,11.5108943813336,23.768304,89.02,4311.50855976,96.9145457742,115.61
1424.705,2.6262998223,19661.9172680741,11.5380107403002,24.179784,89.84,4311.50855976,96.8056836054,129.39
1424.739,2.6262998223,19661.9172680741,11.5380107403002,24.179784,89.84,4311.50855976,96.8056836054,129.39
1424.769,2.6262998223,19661.9172680741,11.5380107403002,24.179784,89.84,4311.50855976,96.8056836054,129.39
1424.788,2.6081561275,19625.7197922849,12.0261052016995,25.106376,90.0,4311.50855976,96.751252521,108.82
1424.803,2.6081561275,19625.7197922849,12.0261052016995,25.106376,90.0,4311.50855976,96.751252521,108.82
1424.876,2.6081561275,19625.7197922849,12.0261052016995,25.106376,90.0,4311.50855976,96.751252521,108.82
1424.94,3.0708203449,19767.6138973783,12.0125470222162,26.691336,89.0,4311.50855976,96.7331088262,108.82
1424.974,3.0708203449,19767.6138973783,12.0125470222162,26.691336,89.0,4311.50855976,96.7331088262,108.82
1425.12,3.5334845623,19705.8368720316,11.8769652273831,31.360872,89.0,4311.50855976,96.1252950504,127.65
1425.211,3.5334845623,19705.8368720316,11.8769652273831,31.360872,89.0,4311.50855976,96.1252950504,127.65
1425.355,3.7784244421,19727.7622002238,12.4464087656823,34.725864,89.09,4311.50855976,95.8304600099,103.77
1425.406,3.7965681369,19717.8337497217,12.866712329665,34.48812,90.0,4311.50855976,95.7215978411,100.34
1425.455,3.7965681369,19717.8337497217,12.866712329665,34.48812,90.0,4311.50855976,95.7215978411,100.34
1425.507,3.7965681369,19717.8337497217,12.866712329665,34.48812,90.0,4311.50855976,95.7215978411,100.34
1425.55,3.8237836791,19682.7394350994,12.7582468937985,34.482024,89.59,4311.50855976,95.7397415359,100.34
1425.598,3.8237836791,19682.7394350994,12.7582468937985,34.482024,89.59,4311.50855976,95.7397415359,100.34
1425.653,3.8237836791,19682.7394350994,12.7582468937985,34.482024,89.59,4311.50855976,95.7397415359,100.34
1425.696,3.8237836791,19682.7394350994,12.7582468937985,34.482024,89.59,4311.50855976,95.7397415359,100.34
1425.702,3.810175908,19712.1800487413,13.300574073131,34.664904,89.53,4311.50855976,95.6989182226,121.78
1425.702,3.810175908,19712.1800487413,13.300574073131,34.664904,89.53,4311.50855976,95.6989182226,121.78
1425.745,3.810175908,19712.1800487413,13.300574073131,34.664904,89.53,4311.50855976,95.6989182226,121.78
1425.842,3.810175908,19712.1800487413,13.300574073131,34.664904,89.53,4311.50855976,95.6989182226,121.78
1425.854,3.8056399843,19652.6782933012,13.2598995346811,34.756344,89.35,4311.50855976,95.6989182226,114.4
1425.854,3.8056399843,19652.6782933012,13.2598995346811,34.756344,89.35,4311.50855976,95.6989182226,114.4
1425.985,3.8056399843,19652.6782933012,13.2598995346811,34.756344,89.35,4311.50855976,95.6989182226,114.4
1426.007,3.8373914502,19671.9836137221,12.7989214322484,34.799016,89.0,4311.50855976,95.6762386041,114.4
1426.129,3.8373914502,19671.9836137221,12.7989214322484,34.799016,89.0,4311.50855976,95.6762386041,114.4
1426.159,3.7512088999,19664.8130661372,12.9887359450148,34.850832,89.9,4311.50855976,95.6853104515,103.77
1426.235,3.7512088999,19664.8130661372,12.9887359450148,34.850832,89.9,4311.50855976,95.6853104515,103.77
1426.312,3.8509992213,19759.0643983348,12.9616195860482,35.807904,89.23,4311.50855976,95.6943822989,103.77
1426.333,3.8509992213,19759.0643983348,12.9616195860482,35.807904,89.23,4311.50855976,95.6943822989,103.77
