,train_depth,train_true,train_pre
33805,2784.300048828125,10.800000190734863,9.966936798095704
33806,2784.39990234375,6.749149799346924,5.916210970878601
33807,2784.39990234375,10.800000190734863,9.957455501556396
33808,2784.5,11.600000381469727,10.754177417755127
33809,2784.60009765625,12.399999618530273,11.551229333877563
33810,2784.60009765625,7.904069900512695,7.0395315074920655
33811,2784.699951171875,7.904069900512695,7.037223582267761
33812,2784.699951171875,3.5999999046325684,2.8635571241378783
33813,2784.800048828125,4.449999809265137,3.6764897155761718
33814,2784.800048828125,8.649720191955566,7.762612886428833
33815,2784.89990234375,10.48184585571289,9.575464286804198
33816,2784.89990234375,5.300000190734863,4.493767874240875
33817,2785.0,5.300000190734863,4.492506494522095
33818,2785.10009765625,11.600000381469727,10.72065263748169
33819,2785.199951171875,10.800000190734863,9.918833818435669
33820,2785.199951171875,8.752579689025879,7.851047739982605
33821,2785.300048828125,10.0,9.110473356246949
33822,2785.300048828125,10.584705352783203,9.66023169517517
33823,2785.39990234375,8.211814880371094,7.312235307693482
33824,2785.5,5.900000095367432,5.063621907234192
33825,2785.600341796875,8.224934577941895,7.319372506141662
33826,2785.600341796875,1.8000000715255737,1.1638959085941314
33827,2785.699951171875,8.224934577941895,7.315336337089539
33828,2785.699951171875,10.100000381469727,9.198798084259034
33829,2785.800048828125,9.541250228881836,8.611058559417724
33830,2785.800048828125,10.100000381469727,9.196777229309083
33831,2785.89990234375,12.399999618530273,11.494466724395751
33832,2786.0,12.399999618530273,11.494602479934692
33833,2786.10009765625,12.899999618530273,11.992972478866577
33834,2786.19970703125,12.899999618530273,11.99192419052124
33835,2786.300048828125,10.549579620361328,9.598494672775269
33836,2786.300048828125,14.149999618530273,13.23560845375061
33837,2786.39990234375,13.75,12.832885656356812
33838,2786.5,10.893884658813477,9.938387689590455
33839,2786.5,12.600000381469727,11.684201211929322
33840,2786.60009765625,13.25,12.335751695632934
33841,2786.699951171875,13.25,12.3352498626709
33842,2786.89990234375,13.90000057220459,12.982989406585693
33843,2787.0,13.90000057220459,12.982665061950684
33844,2787.10009765625,10.920319557189941,9.95735300064087
33845,2787.10009765625,3.5999999046325684,2.8409446811676027
33846,2787.199951171875,8.949999809265137,8.044691562652588
33847,2787.199951171875,11.56663990020752,10.598649282455444
33848,2787.39990234375,10.286100387573242,9.326633348464966
33849,2787.39990234375,14.300000190734863,13.382223176956177
33850,2787.5,12.699999809265137,11.783492012023926
33851,2787.5,10.81612491607666,9.850892639160156
33852,2787.600341796875,9.365429878234863,8.412425045967103
33853,2787.699951171875,10.850000381469727,9.931725864410401
33854,2787.800048828125,10.422855377197266,9.457222814559936
33855,2787.800048828125,13.90000057220459,12.980593643188477
33856,2787.89990234375,17.200000762939453,16.25237319946289
33857,2788.0,10.771869659423828,9.800513038635254
33858,2788.0,17.600000381469727,16.64578275680542
33859,2788.10009765625,11.82929515838623,10.850027513504028
33860,2788.10009765625,17.600000381469727,16.64739454269409
33861,2788.2001953125,11.446764945983887,10.469951601028443
33862,2788.2001953125,18.0,17.040302019119263
33863,2788.300048828125,11.446764945983887,10.468707199096679
33864,2788.300048828125,17.149999618530273,16.208983058929444
33865,2788.39990234375,9.563170433044434,8.60099766254425
33866,2788.39990234375,17.149999618530273,16.21086672782898
33867,2788.499755859375,10.993285179138184,10.016966629028321
33868,2788.499755859375,15.100000381469727,14.180774641036987
33869,2788.699951171875,17.100000381469727,16.165493116378784
33870,2788.800048828125,14.100000381469727,13.185059146881104
33871,2789.0,9.440546035766602,8.476474466323852
33872,2789.10009765625,14.300000190734863,13.38882879257202
33873,2789.10009765625,10.870659828186035,9.893768758773804
33874,2789.199951171875,14.300000190734863,13.389555234909057
33875,2789.199951171875,11.175543785095215,10.195601692199707
33876,2789.300048828125,12.449999809265137,11.53247236251831
33877,2789.39990234375,10.600000381469727,9.676998224258423
33878,2789.39990234375,9.440546035766602,8.476681799888611
33879,2789.5,13.449999809265137,12.537327013015748
33880,2789.600341796875,13.199999809265137,12.287442789077758
33881,2789.699951171875,16.049999237060547,15.141442661285401
33882,2789.800048828125,11.821669578552246,10.842623653411865
33883,2789.800048828125,15.800000190734863,14.891264038085938
33884,2789.89990234375,16.700000762939453,15.787582340240478
33885,2789.89990234375,10.086669921875,9.117240762710571
33886,2790.0,11.674405097961426,10.699419298171996
33887,2790.0,16.700000762939453,15.797804327011109
33888,2790.10009765625,11.674405097961426,10.699818515777588
33889,2790.10009765625,16.700000762939453,15.80190860748291
33890,2790.2001953125,15.149999618530273,14.256028633117676
33891,2790.2001953125,10.059135437011719,9.092204689979553
33892,2790.300048828125,12.961910247802734,12.003056755065918
33893,2790.300048828125,15.149999618530273,14.291239929199218
33894,2790.39990234375,13.600000381469727,12.749417867660522
33895,2790.499755859375,15.149999618530273,14.325495548248291
33896,2790.60009765625,18.399999618530273,17.567489681243895
33897,2790.699951171875,20.100000381469727,19.22706262588501
33898,2790.800048828125,9.895330429077148,9.008391342163087
33899,2790.800048828125,17.399999618530273,16.608712587356568
33900,2790.89990234375,17.399999618530273,16.61743175506592
33901,2791.0,14.699999809265137,13.932507543563842
33902,2791.10009765625,14.5,13.739554224014283
33903,2791.199951171875,14.300000190734863,13.545273427963258
33904,2791.300048828125,12.798105239868164,11.97173529624939
33905,2791.300048828125,14.300000190734863,13.557089414596557
