,train_loss,test_loss,train_acc,test_acc,train_r2,test_r2,train_mse,train_mae,test_mse,test_mae
418,6.036057765129954,1.5616822722367942,-0.22093362802035155,0.5151454757880929,0.38176779524902804,0.053055899046855926,36.55406410652545,4.945603207072099,12.140431661031542,2.8756168294293563
419,6.029560910072178,1.5615935400128365,-0.2200638692131729,0.5151735664027377,0.3824306246119311,0.05311681521806533,36.51487315717495,4.942729755471241,12.139650676586024,2.8754592141077002
420,6.02307413937524,1.5615103733725846,-0.2191895359686422,0.5152026314376255,0.38309238316808136,0.05317441723532901,36.47574552115297,4.939856598141151,12.138912181722997,2.8753052051989947
421,6.016596550587565,1.5614326195791364,-0.21831068684721666,0.5152325383189074,0.3837531757534829,0.05322882075873647,36.4366749998468,4.936983091267273,12.138214693605818,2.8751554819996983
422,6.010128981433809,1.5613602031953633,-0.21742749437350728,0.5152632624750719,0.3844129079645403,0.053280036330789926,36.39766717503469,4.93411010405131,12.137558077072836,2.87501043080138
423,6.0036711087450385,1.5612931651994586,-0.21653989104086357,0.5152949057281457,0.38507162459000266,0.053328076063446694,36.35871939850324,4.931236696621514,12.136942176840979,2.874868956508736
424,5.997222069650888,1.5612311558797956,-0.21564810309568871,0.5153274628153472,0.38572940389893595,0.05337312553728668,36.319827042456566,4.928362840551222,12.136364613647999,2.8747300997889247
425,5.990782925859094,1.5611742716282606,-0.21475219412416813,0.5153609941405515,0.3863861433807835,0.053415120898196444,36.28099616801125,4.925489211563743,12.13582620614465,2.8745937588305615
426,5.984353490639478,1.5611223811283708,-0.21385224636217726,0.5153953375099494,0.38704186204117386,0.05345417975604294,36.242225651426125,4.922615990129722,12.13532544649689,2.8744609821633924
427,5.977933776564896,1.561075575184077,-0.21294828381845932,0.5154305981817676,0.3876965532399478,0.0534902190952512,36.20351588531227,4.919743771803437,12.134863399017712,2.8743309607951764
428,5.971523313783109,1.5610337383113801,-0.21204025437467822,0.5154668448734864,0.38835027053726656,0.05352328238419357,36.16486370283116,4.916871831308663,12.134439506414665,2.874203022226645
429,5.965122575871646,1.5609971364028752,-0.21112798879893435,0.5155040958247908,0.3890029625146222,0.05355328184351493,36.126272144192306,4.914000132874469,12.134054894075465,2.874077689638196
430,5.958731129299849,1.5609654448926449,-0.21021169998379596,0.5155423154448968,0.38965467544765287,0.05358034501499598,36.0877384732674,4.911128559433492,12.133707926832555,2.8739544500550984
431,5.952349465806037,1.5609388165175915,-0.20929129406072322,0.5155815716029593,0.3903053581774968,0.05360438974403359,36.04926571491392,4.908257290385666,12.133399657960723,2.873833249775119
432,5.9459773120470345,1.560916846152395,-0.20836714417261026,0.5156216800515148,0.3909550458938017,0.053625697884002066,36.01085178848219,4.905386932622455,12.133126473918654,2.873714546764838
433,5.939615393523127,1.5608997642993927,-0.2074391882736928,0.5156627053974447,0.39160365876303715,0.053644115876832044,35.97250141426979,4.902516725370895,12.13289034341944,2.8735982426229296
434,5.933262945152819,1.5608872412703931,-0.206507442251874,0.5157046903377622,0.3922512759568768,0.053659797522491504,35.9342099111126,4.899646234997526,12.132689294648696,2.8734835808433568
435,5.92691977834329,1.5608795201405883,-0.2055718241053046,0.5157476181570104,0.39289791715859934,0.05367264872095978,35.8959761152022,4.896775842163284,12.13252453402913,2.873370904307063
436,5.920586341060698,1.5608765529468656,-0.20463244695533933,0.5157915016029364,0.39354353488323435,0.053682685911351946,35.85780283417081,4.893905989874405,12.132395850800732,2.8732601085539775
437,5.914261956233531,1.560878378804773,-0.20368913058260585,0.5158363672643359,0.39418820434099744,0.05368988418277043,35.81968562108243,4.891036319064016,12.132303564337205,2.8731510788579047
438,5.907947395928204,1.5608851150609553,-0.20274178551396127,0.5158821825647417,0.3948318356667124,0.05369415310632841,35.78162978937332,4.888166269652303,12.132248833994971,2.873044478602323
439,5.901641916017979,1.5608967076987028,-0.20179049020748163,0.5159289156587674,0.39547451417949686,0.05369556089533134,35.74363029440092,4.8852959859085505,12.132230785235635,2.8729401337024516
440,5.89534625178203,1.5609131613746285,-0.20083524230790362,0.515976525691666,0.3961161595834277,0.05369409574120154,35.70569188380261,4.882425498416205,12.132249569452748,2.872838623690101
441,5.889060338027775,1.56093441369012,-0.19987599659853594,0.5160251202143207,0.39675678087580146,0.053689763830862436,35.667814025597416,4.879555036719006,12.132305107325974,2.8727392097750335
442,5.882783501408994,1.5609605959616601,-0.1989126539806232,0.5160745708429264,0.3973964498164807,0.053682515059033875,35.62999247685756,4.876684881269496,12.132398041237199,2.8726431710547247
443,5.876516226213425,1.5609920024871826,-0.19794497529629895,0.5161249352444748,0.3980351102685826,0.05367219454353089,35.59223055677473,4.873813892827342,12.132530356875519,2.872550546427879
444,5.8702592072077096,1.5610285704024136,-0.1969730259848783,0.5161761927123999,0.39867269495495206,0.053658795680934124,35.55453224322881,4.870941934090173,12.132702138901013,2.872461682634984
445,5.864011328667402,1.5610701302066445,-0.19599693440895694,0.5162282876286357,0.39930931233584754,0.05364246760748537,35.51689112331667,4.868069535634229,12.132911475291262,2.872376262658801
446,5.857773367315531,1.5611164555884898,-0.19501708339573565,0.5162812672535,0.3999448913660142,0.05362328425531959,35.47931139771367,4.8651975899898785,12.133157418188802,2.8722932697298473
447,5.851544457487762,1.5611677528358996,-0.1940330760769462,0.5163352194452077,0.40057952052022383,0.053601172800949004,35.44178783519367,4.862325248206592,12.13344090123753,2.8722126173104474
448,5.845325137954205,1.561223603785038,-0.19304543838481836,0.5163899978246993,0.40121314199494607,0.05357637141140037,35.40432385349185,4.8594528968051405,12.133758870983167,2.8721345293732785
449,5.839115548878908,1.5612839763052762,-0.19205422268179717,0.5164456897766816,0.401845743047748,0.05354887322888846,35.36692020602691,4.856580939842145,12.13411141534693,2.8720582686696905
450,5.832915328908712,1.5613489649258554,-0.19105925199205087,0.5165022777281272,0.40247736876078466,0.053518659742120445,35.329574227237316,4.8537084404348505,12.13449877165548,2.871983980723613
451,5.826724133454263,1.561418438795954,-0.1900606535804905,0.5165596909781319,0.4031080348098456,0.053485775521732726,35.292284990264505,4.850835259758165,12.134920368484629,2.871911868406739
452,5.820542254019529,1.5614920421503484,-0.18905889594195502,0.5166178392154808,0.40373773674446467,0.053450472222541956,35.255052758250095,4.847961925508632,12.135372979457973,2.871841701868986
