MD,WOBA,SPPA,TQA,ROPA,RPMA,MFIA,HKLA,Gamma
2154.4000000000315,11.656,11.584,8.626000000000001,17.11,93.56,2012.8020000000001,86.434,112.79400000000001
2154.4500000000317,11.941999999999998,11.586,8.302000000000001,17.11,92.796,2014.014,86.148,107.9
2161.8000000000584,8.546000000000001,11.657999999999998,7.9879999999999995,15.77,92.854,2013.1380000000001,89.54400000000001,113.43199999999999
2161.8500000000586,9.209999999999999,11.8,7.806,15.77,93.082,2012.354,88.88000000000001,115.204
2161.9000000000588,9.964,11.97,9.394,15.77,91.61999999999999,2012.982,88.126,118.34
2161.950000000059,10.856,12.036000000000001,10.108,15.77,92.22200000000001,2012.922,87.234,123.66799999999998
2162.000000000059,11.309999999999999,12.004999999999999,10.35,15.77,92.125,2013.83,86.78,127.005
2163.2000000000635,11.51,11.621999999999998,9.322,16.76,91.888,2012.982,86.58200000000002,123.5
2163.2500000000637,11.523999999999997,11.663999999999998,8.362,16.76,92.608,2012.468,86.566,121.662
2163.300000000064,11.63,11.652000000000001,9.418,16.76,92.00399999999999,2014.1879999999996,86.46,117.31400000000001
2163.5500000000648,11.836,11.565999999999999,8.236,16.76,92.196,2013.086,86.25399999999999,107.032
2163.7000000000653,11.596,11.55,8.75,16.76,92.646,2013.018,86.494,110.28600000000002
2166.8500000000768,11.559999999999999,12.052,13.319999999999999,11.72,93.02400000000002,2013.2959999999998,86.53,78.898
2172.400000000097,9.413999999999998,11.547999999999998,10.324,18.74,93.044,2006.8799999999999,87.13199999999999,126.25399999999999
2172.450000000097,9.425999999999998,11.584,9.546000000000001,18.74,91.754,2008.688,87.12,124.24000000000001
2172.6000000000977,7.33,11.59,10.64,18.74,92.61000000000001,2008.1399999999999,89.215,112.375
2172.650000000098,9.558,11.632000000000001,11.306000000000001,18.74,92.384,2007.3799999999999,86.98999999999998,107.992
2172.700000000098,9.656,11.616,10.330000000000002,18.74,91.854,2007.2620000000002,86.888,102.85
2172.750000000098,9.812,11.642,11.28,18.74,92.138,2008.4260000000002,86.72999999999999,105.498
2172.8000000000984,9.912,11.58,10.632000000000001,18.74,92.876,2007.8079999999998,86.63,101.638
2172.8500000000986,10.024000000000001,11.568000000000001,12.363999999999999,18.74,92.54799999999999,2007.1419999999998,86.524,100.0
2172.9000000000988,10.33,11.59,10.475,22.9175,93.4375,2007.2075,86.21499999999999,97.99249999999999
2172.950000000099,10.652,11.692000000000002,12.408,24.31,92.15599999999999,2005.1680000000001,85.892,95.0
2173.000000000099,10.655999999999999,11.722,12.342,24.31,93.208,2006.5900000000001,85.888,92.138
2173.0500000000993,10.898,11.725999999999999,11.059999999999999,24.31,92.93799999999999,2007.25,85.646,87.946
2173.1000000000995,10.995999999999999,11.718,12.552,24.31,92.65599999999999,2005.8,85.548,85.22
2173.1500000000997,11.126,11.77,10.001999999999999,24.31,92.84199999999998,2006.3319999999999,85.41799999999999,83.42999999999999
2173.2000000001,11.056000000000001,11.586,11.536000000000001,24.31,91.898,2006.9299999999998,85.488,81.7
2179.6500000001233,10.026,11.597999999999999,12.516,16.13,93.192,2007.118,86.516,95.74600000000001
2180.0000000001246,10.758000000000001,12.314,10.398,18.86,93.162,2007.784,85.78999999999999,111.25399999999999
2180.050000000125,11.104,12.046000000000001,12.476,18.86,91.74,2006.4279999999999,85.44,108.394
2180.100000000125,10.902,11.7,11.458000000000002,18.86,92.05799999999999,2006.762,85.64399999999999,106.44800000000001
2180.150000000125,10.78,11.584,10.0,18.86,91.94200000000001,2008.0939999999998,85.76599999999999,110.506
2180.3000000001257,10.67,11.602,9.326,18.86,92.452,2007.932,85.872,123.55
2180.350000000126,10.542,11.570000000000002,9.622,18.86,92.75,2007.3079999999998,86.002,125.554
2180.4500000001262,10.556000000000001,11.649999999999999,10.016,18.86,93.12,2006.688,85.99000000000001,119.7
2180.5000000001264,10.542,11.702,9.474,18.86,92.832,2007.216,86.00200000000001,120.15
2180.5500000001266,10.464,11.831999999999999,8.028,18.86,91.522,2007.5439999999999,86.08,120.946
2180.600000000127,10.645999999999999,11.826,7.63,18.86,92.416,2007.52,85.9,117.388
2180.650000000127,10.620000000000001,11.785999999999998,9.517999999999999,18.86,93.344,2007.616,85.922,113.396
2180.700000000127,10.73,11.554,10.764,18.86,92.926,2006.666,85.816,107.098
2180.7500000001273,10.830000000000002,11.553999999999998,10.285999999999998,18.86,93.61,2006.0760000000002,85.712,99.506
2181.5500000001302,11.218,12.202000000000002,8.92,18.57,91.878,2007.214,85.326,122.772
2181.6000000001304,11.325999999999999,12.145999999999999,10.713999999999999,18.57,92.006,2007.762,85.218,115.992
2181.700000000131,11.306000000000001,11.984,9.692,18.57,93.244,2007.998,85.242,105.1
2181.750000000131,11.324,11.956,9.898,18.57,92.79,2008.616,85.21799999999999,102.752
2181.800000000131,11.236,11.894,8.616,18.650000000000002,92.434,2007.616,85.31,103.638
2181.8500000001313,11.096,11.812000000000001,9.565999999999999,18.67,91.67999999999999,2008.47,85.44800000000001,101.40599999999999
2181.9000000001315,10.966,11.768,10.258,18.67,92.202,2009.0199999999998,85.576,104.4
2181.9500000001317,11.022000000000002,11.73,11.47,18.67,91.926,2007.4279999999999,85.522,101.498
2182.000000000132,11.064,11.728000000000002,9.450000000000001,18.67,93.09200000000001,2006.8100000000002,85.48,102.196
2182.050000000132,11.104,11.686,9.284,18.67,93.51,2008.3319999999999,85.44200000000001,105.05
2183.100000000136,10.776,11.55,9.698,18.57,93.09200000000001,2007.074,85.768,112.25399999999999
