BD,WOBA,SPPA,TQA,ROPA,RPMA,MFIA,HKLA,Gamma
1661.53,55.3811,17.6485,6.91862,12.6916,51.3485,914.629,55.3811,119.555148128191
1661.58,55.9826,17.6717,7.38,12.6916,51.1432,914.629,55.9826,136.980597664257
1661.73,57.4197,17.3948,0.2985,12.6916,0.0,914.153,57.4197,151.80508692299
1661.8,64.0772,17.3941,0.301125,12.6916,0.0,914.748,64.0772,161.535608077768
1661.98,65.0166,17.4595,0.267,12.6916,0.025822,914.748,65.0166,151.394960444401
1665.79,52.5682,19.607,0.2905,5.03521,0.0,929.019,52.5682,134.145923206531
1666.19,47.8039,17.6491,0.302625,5.03521,0.0,929.019,47.8039,125.89970839528
1667.2,53.7492,19.6959,7.88588,35.4916,51.0691,929.019,53.7492,161.618485998933
1667.57,53.7344,19.5313,7.47087,35.4916,51.3712,928.9,53.7344,168.695461874304
1668.48,56.7496,17.9126,7.50437,37.1483,51.128,929.019,56.7496,141.636023204015
1668.82,55.6973,18.2039,7.54388,37.1483,50.9551,929.019,55.6973,165.791782544771
1669.71,57.4532,17.6645,7.11963,37.1483,50.9171,929.019,57.4532,163.622726116358
1670.05,48.6812,19.5677,0.304875,37.1483,0.071421,988.955,48.6812,141.606948217883
1671.56,48.4908,19.502,0.271,4.43956,0.0,988.955,48.4908,159.225497542173
1673.08,49.336,19.0837,0.27625,3.33386,0.0,980.393,49.336,148.227209401627
1674.2,48.3848,19.4538,0.321375,4.09505,0.0,980.988,48.3848,153.674962620188
1674.62,56.0496,18.1142,7.43538,25.6705,53.2107,906.067,56.0496,160.771763055561
1675.72,54.9844,18.2878,7.06525,26.9714,53.1745,905.948,54.9844,127.200721040884
1677.22,54.9539,18.5779,7.54475,26.0051,53.2296,905.948,54.9539,164.704727787619
1677.78,55.0389,18.5042,7.35638,24.919,53.148,906.542,55.0389,175.449130482925
1678.21,54.9506,18.406,7.33362,24.919,53.108,906.305,54.9506,50.9243624020218
1679.55,54.705,18.5702,7.44338,30.8515,53.0948,906.423,54.705,161.078748486835
1680.09,54.8235,18.153,7.56537,30.8515,53.1442,906.542,54.8235,139.10859406143
1680.52,54.9792,18.1113,7.51237,31.4125,53.1841,906.304,54.9792,142.761167148538
1680.54,54.9867,18.1439,7.61312,31.4125,53.1537,906.304,54.9867,140.052326177234
1680.85,54.9355,18.3695,7.66663,31.4125,52.7945,906.542,54.9355,123.135758816932
1681.03,54.9687,18.7012,7.70675,31.4125,53.1479,905.948,54.9687,145.022973766184
1681.08,54.927,18.7439,7.70162,31.4125,53.0453,906.304,54.927,135.213850644425
1681.2,54.8692,18.7969,7.41087,32.2172,53.1138,905.948,54.8692,143.817255512324
1681.32,54.8324,18.8504,7.73938,32.2172,53.1689,905.948,54.8324,137.547730584761
1681.37,54.814,18.8823,7.6035,32.2172,52.918,906.423,54.814,143.166773009898
1681.46,54.6656,18.9834,7.47775,32.2172,53.0948,905.948,54.6656,140.707113629252
1681.5,54.6676,18.9799,7.35112,32.2172,52.8933,905.948,54.6676,150.414991592377
1681.55,54.7264,18.9925,7.82125,32.2172,53.0282,906.305,54.7264,145.534440113886
1681.69,54.6732,19.0465,8.05663,32.2172,53.3019,906.423,54.6732,150.075405329449
1681.74,54.6554,19.0467,7.60638,32.2172,53.224,906.186,54.6554,164.757258200667
1681.78,54.6072,18.9561,7.56225,32.2172,53.1423,906.186,54.6072,157.547755117298
1681.94,54.6679,18.6938,7.36662,32.2172,52.8952,906.423,54.6679,156.07426014386
1682.06,54.55,18.9536,7.60463,31.7569,53.0529,906.186,54.55,154.657055131639
1682.11,54.488,19.1019,7.81238,31.7569,53.2239,906.304,54.488,153.90869109726
1682.3,54.7753,18.5898,7.4155,31.7569,53.2125,905.948,54.7753,128.780785247549
1682.47,54.7917,18.4602,7.389,31.7569,53.0738,906.423,54.7917,136.802711463604
1682.6,54.9086,18.6916,7.55925,31.7569,52.9674,905.948,54.9086,134.860711048299
1682.78,54.7526,18.7256,7.44588,31.7569,53.1651,906.423,54.7526,153.900064365514
1682.83,54.7976,18.6874,7.54462,31.7569,53.0073,906.067,54.7976,153.552088450283
1682.96,54.8068,18.5299,7.35687,31.7569,52.9447,906.304,54.8068,163.123932906098
1683.01,54.858,18.4373,7.38538,31.7569,53.1308,906.186,54.858,169.334769737888
1683.12,54.8629,18.3523,7.16638,30.2849,53.0263,906.067,54.8629,163.86273284662
1683.22,54.8416,18.3471,7.1525,30.2849,53.2011,906.423,54.8416,147.692803305056
1683.31,54.7667,18.556,7.76375,30.2849,53.2392,906.423,54.7667,141.382925851004
1683.35,54.7999,18.6115,7.54975,30.2849,53.1555,905.948,54.7999,146.242019792055
1686.5,55.1023,17.1416,7.21688,29.3386,53.1765,906.423,55.1023,119.344894817741
1686.52,55.099,17.1397,7.18563,29.3386,53.0663,906.186,55.099,121.147294819449
1686.59,55.0878,17.074,7.182,29.3386,53.1385,906.304,55.0878,128.865257259553
1686.61,55.1112,17.0544,7.21375,29.3386,53.0605,906.305,55.1112,131.19548817465
1686.76,56.5815,18.9755,7.434,20.8209,51.4625,948.284,56.5815,128.415603714804
1686.97,56.4222,19.5164,7.48,20.8209,51.7627,948.284,56.4222,129.367190776647
1687.05,56.3612,19.5986,7.5495,20.8209,51.8805,948.284,56.3612,124.885583923337
1687.11,56.1976,19.7079,7.60887,20.5708,51.5784,948.284,56.1976,120.229275257479
1687.23,56.215,19.9439,7.67588,20.5708,51.7076,948.284,56.215,128.339177199661
1687.36,56.1921,19.9038,7.6515,20.5708,51.4112,948.284,56.1921,123.652066821424
1687.53,56.1983,20.0149,7.458,40.0057,51.8007,948.284,56.1983,115.972127115053
1687.57,56.1609,19.9914,7.5525,40.0057,51.7266,948.284,56.1609,118.353014301017
1687.69,56.1399,20.1093,7.8625,40.0057,51.6335,948.284,56.1399,119.850272167032
1687.74,56.1464,20.1386,7.97237,40.0057,51.3541,948.284,56.1464,116.140904424443
1687.86,56.174,20.1425,7.6635,40.0057,51.5613,948.284,56.174,122.07575312678
1688.07,56.0473,20.2976,7.74613,40.0057,51.8159,948.522,56.0473,125.372717723098
1688.19,56.0502,20.2906,7.89175,37.7383,51.7475,948.284,56.0502,137.068606819924
1688.24,56.0509,20.3306,7.83575,37.7383,51.5746,948.284,56.0509,138.983347847691
1688.34,55.8378,19.6019,7.063,37.7383,51.567,948.403,55.8378,148.873699874411
1688.47,56.2384,18.6513,7.34163,37.7383,51.4473,948.879,56.2384,157.814369941555
1688.49,56.2705,18.6189,7.23513,37.7383,51.6905,948.998,56.2705,146.982230775836
1688.57,56.2771,18.554,6.467,37.7383,51.3275,949.116,56.2771,162.415687507073
1688.71,56.285,18.685,7.60125,37.7383,51.5252,948.284,56.285,160.73881159566
1688.74,56.2751,18.6355,7.32487,37.7383,51.6373,948.403,56.2751,158.760170323064
1688.8,56.2702,18.5889,6.89337,37.7383,51.6183,948.641,56.2702,159.069020014329
1688.82,56.2774,18.558,6.95,37.7383,51.8862,948.522,56.2774,151.505401159458
1688.97,56.3329,18.4392,7.15763,37.7383,51.9261,948.284,56.3329,142.987286114708
1688.99,56.3273,18.4364,7.16275,37.7383,51.7912,948.284,56.3273,141.646170305204
1689.07,56.3658,18.4355,7.20937,37.7383,51.5309,948.284,56.3658,132.936022663929
1689.21,56.3763,18.6423,7.076,37.7383,51.6506,948.284,56.3763,113.661320274117
1689.23,56.3434,18.6947,7.0375,37.7383,51.662,948.403,56.3434,112.20650498062
1689.29,56.3027,18.787,7.18337,37.7383,51.4568,948.641,56.3027,98.4172934680989
1689.46,56.3047,18.447,6.97963,37.7383,51.6221,948.284,56.3047,106.375023273612
1689.49,56.281,18.4183,7.03375,37.7383,51.6164,948.284,56.281,112.013680588704
1692.6,49.1048,18.1377,0.239,2.73521,0.109437,948.403,49.1048,134.462892808501
1694.06,49.7687,17.9629,0.316625,1.99837,0.0,948.284,49.7687,150.102855140803
1695.23,49.9578,18.0059,0.338875,1.84052,0.0,948.284,49.9578,165.74193287361
1696.55,49.1839,18.12,0.312875,1.80195,0.0,947.689,49.1839,172.075873004183
1697.8,49.0628,18.2853,0.296625,1.75533,0.0,948.284,49.0628,194.486639486245
1698.78,48.7131,18.1604,0.343,3.44747,0.0,948.284,48.7131,157.099040048432
1700.1,49.6541,18.3446,0.33675,1.72048,0.0,948.641,49.6541,184.896124989227
1700.44,49.8817,18.326,0.247375,1.72048,0.031522,948.403,49.8817,164.062726594052
1701.32,48.6248,18.3011,0.31025,3.2132,0.20634,948.879,48.6248,173.257344131816
1702.55,56.0013,19.9716,7.45237,30.7339,51.5803,948.284,56.0013,195.123319404162
1703.8,56.2649,19.8634,7.76538,23.1992,51.7019,948.522,56.2649,177.973972230281
1705.11,56.195,20.2411,7.59637,24.8841,51.4777,948.284,56.195,163.00975558729
1705.54,56.0522,20.1886,7.57737,24.8841,51.6392,948.522,56.0522,157.672290928131
1706.53,55.8059,20.0549,7.87125,25.2812,51.4017,948.998,55.8059,149.358659195729
1709.0,55.1003,19.0327,7.73375,27.1122,51.3884,910.942,55.1003,152.845173787407
1710.44,54.6308,19.2477,7.45188,25.3933,51.3029,911.299,54.6308,157.321696670665
1710.84,54.6068,19.3982,7.91925,25.522,51.453,911.18,54.6068,164.646120268354
1712.07,55.4989,19.7821,7.53713,24.9407,51.6943,911.418,55.4989,134.58519610889
1712.21,55.4411,19.5826,7.5445,24.9407,51.3256,910.824,55.4411,119.426149260529
1712.37,55.4054,19.795,7.57325,24.9407,51.643,911.18,55.4054,131.713590847067
1712.47,55.4602,19.4172,7.29525,24.686,51.7855,911.537,55.4602,135.36632556974
1712.5,55.4461,19.3481,7.35413,24.686,51.7665,911.537,55.4461,138.886924007627
1712.56,55.4658,19.272,7.30288,24.686,51.4188,911.299,55.4658,147.27711836106
1712.58,55.4408,19.2656,7.358,24.686,51.3694,911.418,55.4408,147.080839102658
1712.73,55.3985,19.0319,7.21712,24.686,51.7095,911.537,55.3985,150.843123911981
1712.8,55.409,19.0707,7.338,24.686,51.6924,911.061,55.409,127.925495983991
1712.82,55.432,19.1172,7.38737,24.686,51.7475,911.061,55.432,148.483513900392
1712.95,55.452,19.1519,7.53088,24.686,51.7741,911.894,55.452,143.775897770148
1712.99,55.4494,19.1074,7.58038,24.686,51.4928,911.18,55.4494,138.641081960231
1713.05,55.5002,19.0323,7.4105,24.686,51.4529,911.656,55.5002,130.618244345606
1713.08,55.4474,18.9762,7.5035,24.686,51.4245,911.299,55.4474,126.236819393237
1713.24,55.6004,18.7084,7.31075,24.686,51.7209,911.061,55.6004,122.44301037541
1713.26,55.5758,18.6578,7.26463,24.686,51.6848,911.537,55.5758,123.754384446582
1713.32,55.5058,18.5735,7.26425,24.686,51.7513,911.537,55.5058,133.830894529837
1713.35,55.5259,18.5697,7.33887,24.686,51.7703,911.656,55.5259,143.084322248899
1713.44,55.6572,18.5868,7.28312,24.686,51.548,911.18,55.6572,153.138506065605
1713.51,55.7587,18.6244,7.48187,24.8021,51.4073,911.061,55.7587,155.606104641542
1713.53,55.7777,18.625,7.40325,24.8021,51.567,911.299,55.7777,152.192179185894
1713.59,55.7045,18.686,7.188,24.8021,51.491,911.537,55.7045,146.732893233318
1713.62,55.7156,18.6867,7.19287,24.8021,51.3313,911.299,55.7156,153.071012882984
1713.69,55.7143,18.7694,7.25975,24.8021,51.5784,910.824,55.7143,162.676179336931
1716.79,55.8207,18.8649,7.23225,29.5215,51.0121,905.829,55.8207,145.072584125843
1716.84,55.7593,19.0285,7.53162,29.5215,50.9171,905.472,55.7593,144.552064985749
1716.97,55.7603,19.031,7.62262,29.5215,50.8867,905.829,55.7603,149.340882501529
1716.99,55.7606,19.0202,7.63825,29.5215,50.9931,905.829,55.7606,151.54543068298
1717.08,55.8407,19.1336,8.07475,29.5215,51.1831,905.71,55.8407,150.71143465766
1717.21,55.8099,18.9383,7.88325,29.5215,51.1603,905.829,55.8099,161.577627835513
1717.35,55.7603,18.9073,8.0915,29.5215,50.8183,905.829,55.7603,168.796248456781
1717.44,55.8657,18.8819,7.59013,29.5215,51.0729,905.829,55.8657,169.575019949534
1717.46,55.8916,18.8228,7.48037,29.5215,51.1033,905.71,55.8916,174.962409429064
1717.52,55.9297,18.7028,7.69212,29.125,51.1242,905.472,55.9297,154.073401444202
1717.55,55.934,18.701,7.77938,29.125,51.2914,905.472,55.934,159.438041388022
1717.6,55.9694,18.6525,7.53438,29.125,51.3694,905.472,55.9694,150.253752818249
1717.61,55.9626,18.6829,7.56913,29.125,51.3484,905.472,55.9626,156.16163469181
1717.7,55.9875,18.7901,7.60112,29.125,51.4473,905.472,55.9875,153.785837755108
1717.76,55.9928,18.6831,7.512,29.125,51.1204,905.472,55.9928,156.203478169839
1717.78,55.9974,18.6838,7.63888,29.125,51.0729,905.472,55.9974,158.005739016856
