BD,WOBA,SPPA,TQA,ROPA,RPMA,MFIA,HKLA,Gamma
1637.86,1.841,12.155,0.282,13.663,0.003,714.959,48.584,94.0
1638.1933333333332,1.841,12.155,0.282,13.663,0.003,714.959,48.584,97.33333333333333
1638.5266666666666,1.841,12.155,0.282,13.663,0.003,714.959,48.584,100.66666666666667
1638.86,0.0,11.287,0.309,11.846,0.0,714.959,68.867,104.0
1639.1933333333332,0.0,11.287,0.309,11.846,0.0,714.959,68.867,105.0
1639.5266666666666,0.0,11.287,0.309,11.846,0.0,714.959,68.867,106.0
1639.86,0.0,17.654,7.573,5.794,31.852,942.932,55.694,107.0
1640.1933333333332,0.0,17.654,7.573,5.794,31.852,942.932,55.694,102.33333333333333
1640.5266666666666,0.0,17.654,7.573,5.794,31.852,942.932,55.694,97.66666666666667
1640.86,2.399,20.698,9.098,46.087,31.824,943.289,53.153,93.0
1641.52,2.399,20.698,9.098,46.087,31.824,943.289,53.153,85.66666666666667
1642.1799999999998,2.399,20.698,9.098,46.087,31.824,943.289,53.153,78.33333333333333
1642.84,3.237,21.099,9.44,42.393,32.688,943.289,52.315,71.0
1643.1766666666665,3.237,21.099,9.44,42.393,32.688,943.289,52.315,78.0
1643.5133333333333,3.237,21.099,9.44,42.393,32.688,943.289,52.315,85.0
1643.85,3.849,20.214,8.929,38.14,32.002,943.408,51.702,92.0
1643.9399999999998,3.849,20.214,8.929,38.14,32.002,943.408,51.702,94.33333333333333
1644.03,3.849,20.214,8.929,38.14,32.002,943.408,51.702,96.66666666666667
1644.12,3.759,20.298,9.001,38.14,31.911,943.289,51.793,99.0
1644.36,3.759,20.298,9.001,38.14,31.911,943.289,51.793,99.66666666666667
1644.6,3.759,20.298,9.001,38.14,31.911,943.289,51.793,100.33333333333333
1644.84,3.764,20.302,8.847,33.884,31.923,943.408,51.788,101.0
1645.2333333333333,3.764,20.302,8.847,33.884,31.923,943.408,51.788,104.0
1645.6266666666666,3.764,20.302,8.847,33.884,31.923,943.408,51.788,107.0
1646.02,4.095,20.242,8.654,33.062,31.911,943.765,51.457,110.0
