MD,WOBA,SPPA,TQA,ROPA,RPMA,MFIA,HKLA,Gamma
1714.54,2.217,17.609,6.927,24.802,51.381,911.656,55.854,111.0
1714.55,2.259,17.628,6.912,24.802,51.377,911.775,55.813,116.0
1714.61,2.19,17.575,6.951,24.802,51.55,911.537,55.882,108.0
1714.7,2.35,17.558,6.944,24.802,51.736,911.418,55.722,116.0
1714.72,2.382,17.555,6.963,24.802,51.742,911.656,55.69,117.0
1714.78,2.524,17.537,7.089,24.802,51.784,911.299,55.548,121.0
1714.87,2.444,17.608,7.249,24.802,51.567,911.418,55.628,130.0
1714.95,2.3397660451752516,17.575,7.296,24.802,51.373,911.656,55.588,122.0
1714.97,2.2183907867058448,17.524,7.286,24.802,51.198,911.656,55.626,102.0
1715.03,2.0970003887726993,17.523,7.308,24.802,51.43,911.18,55.632,97.0
1715.06,1.9927210155567319,17.524,7.299,24.802,51.71,910.942,55.596,127.0
1715.12,1.9226788312388594,17.514,7.156,24.802,51.721,911.299,55.577,128.0
1715.79,2.576,18.758,7.768,28.666,51.272,905.829,55.933,121.0
1715.87,2.556,18.585,7.696,28.666,51.037,905.829,55.953,114.0
1715.95,2.634,18.544,7.54,28.666,51.071,906.186,55.875,115.0
1715.98,2.595,18.588,7.8,28.666,50.906,905.591,55.914,106.0
1716.04,2.58,18.683,7.511,28.666,51.392,905.71,55.929,113.0
1716.06,2.574,18.713,7.625,28.666,51.343,905.829,55.935,111.0
1716.82,2.728,18.979,7.438,29.522,50.894,905.472,55.781,92.0
1718.97,2.531,19.164,7.572,29.434,50.805,905.948,55.978,100.0
1721.7,1.7045565716132656,18.11,7.666,23.924,51.166,905.472,55.714,104.0
