MD,WOBA,SPPA,TQA,ROPA,RPMA,MFIA,HKLA,Gamma
538.2,0.63,10.18,3.565,0.75,79.0,4017.25,70.185,64.7542
538.3,0.585,10.18,3.09,0.75,79.0,4017.365,70.22999999999999,63.3352
538.4,0.4649999999999999,10.09,3.0700000000000003,0.845,79.0,4017.26,70.345,61.8425
538.5,0.23,9.91,3.06,0.88,79.0,4017.24,70.58,61.0011
538.7,0.415,10.07,4.365,0.8049999999999999,79.0,4017.355,70.4,61.4272
538.8,0.445,10.2,4.415,0.92,79.0,4017.24,70.375,61.9721
538.9,0.415,10.185,4.805,0.845,79.0,4017.335,70.405,62.1104
539.0,0.565,10.31,5.88,0.895,79.0,4016.985,70.255,61.6294
539.1,0.495,10.22,4.635,0.895,79.0,4016.96,70.325,60.8363
539.3,0.935,10.39,5.27,0.8,79.0,4016.33,69.88,60.7231
539.5,1.1,10.54,6.4,0.81,79.0,4015.875,69.715,61.3447
539.6,1.405,10.665,5.345000000000001,0.8,79.0,4015.995,69.41,60.6892
539.7,1.715,10.785,6.695,0.84,79.0,4015.81,69.10499999999999,59.5703
539.8,1.47,10.25,3.61,0.5549999999999999,79.0,4016.82,69.34,58.6985
539.9,1.29,10.36,4.3,0.28,79.0,4016.1,69.52,58.2979
540.0,1.105,10.325,3.125,0.24,79.0,4016.6,69.715,58.3619
540.1,0.485,10.045,3.13,0.2,79.0,4017.195,70.33500000000001,59.0535
540.2,0.35,9.835,2.24,0.215,79.0,4018.21,70.47,60.3649
540.3,0.325,10.035,3.645,0.23,79.0,4017.955,70.49,62.1436
540.4,0.3299999999999999,9.945,1.98,0.26,79.0,4017.75,70.485,63.9207
540.5,0.255,9.89,3.23,0.26,79.0,4017.88,70.56,65.1685
540.6,0.01,9.825,2.6,0.3249999999999999,79.0,4017.965,70.815,65.742
540.7,0.01,9.83,1.43,0.36,79.0,4018.12,70.84,65.6303
540.8,0.025,9.85,3.11,0.355,79.0,4018.34,70.78999999999999,65.0546
540.9,0.04,9.855,1.6700000000000002,0.355,79.0,4018.325,70.83,64.2926
541.0,0.04,9.855,1.605,0.43,79.0,4018.305,70.83,63.7673
541.1,0.0349999999999999,9.855,2.5700000000000003,0.43,79.0,4018.34,70.805,64.0096
541.2,0.04,9.84,2.565,0.51,79.0,4018.405,70.78,65.1564
541.3,0.01,9.81,2.605,0.505,79.0,4018.43,70.83,66.9091
541.4,0.01,9.8,2.265,0.51,79.0,4018.43,70.83500000000001,68.5834
541.5,0.01,9.825,2.46,0.51,79.0,4018.425,70.83500000000001,69.923
541.6,0.01,9.86,2.175,0.52,79.0,4018.36,70.85,70.9886
541.7,0.12,9.92,2.155,0.5700000000000001,79.0,4018.24,70.725,71.839
541.8,0.065,9.905,2.235,0.5800000000000001,79.0,4018.225,70.75,72.5607
541.9,0.26,9.9,2.03,0.5800000000000001,79.0,4018.29,70.56,73.3091
542.0,1.0,10.12,3.95,0.54,79.0,4018.4,69.82,74.4367
542.1,0.99,10.22,4.28,0.545,79.0,4017.63,69.83,76.1078
542.2,0.98,10.295,4.035,0.595,79.0,4017.59,69.83500000000001,78.0352
542.3,0.865,10.29,3.935,0.595,79.0,4016.875,69.95,79.6679
542.4,0.8049999999999999,10.265,3.1900000000000004,0.64,79.0,4016.905,70.00999999999999,80.8146
542.5,0.8049999999999999,10.275,3.965,0.64,79.0,4016.99,70.00999999999999,81.8044
542.6,0.905,10.31,4.57,0.5700000000000001,79.0,4016.595,69.91499999999999,83.0264
542.7,0.895,10.315,4.35,0.5700000000000001,79.0,4016.42,69.92,84.2252
542.8,0.895,10.31,3.84,0.5,79.0,4016.55,69.92500000000001,84.8373
542.9,0.935,10.295,4.26,0.5449999999999999,79.0,4016.765,69.88,84.5382
543.0,1.085,10.345,4.385,0.605,79.0,4016.84,69.725,83.5464
543.1,1.17,10.4,5.39,0.62,79.0,4016.68,69.64,82.1521
543.2,1.335,10.57,5.34,0.665,79.0,4016.285,69.47999999999999,80.335
543.3,1.295,10.635,4.8100000000000005,0.665,79.0,4016.205,69.52000000000001,78.438
543.4,1.09,10.62,4.445,0.71,79.0,4015.81,69.725,76.9325
543.5,0.95,10.58,3.685,0.645,79.0,4016.05,69.86500000000001,76.3971
543.6,0.985,10.49,3.43,0.585,79.0,4016.05,69.83,77.4194
543.7,0.915,10.46,4.355,0.585,79.0,4015.97,69.89500000000001,79.5538
543.8,0.885,10.415,4.15,0.605,79.0,4016.205,69.935,82.1684
