MD,TVD,RPMA,WOBA,ROPA
1600.7,1542.36,50.54,1.5,22.18
1600.8,1542.46,50.43,1.36,22.18
1600.9,1542.55,50.29,1.56,22.18
1601.0,1542.65,50.53,1.87,22.18
1601.1,1542.74,50.24,1.53,22.18
1601.2,1542.84,50.65,1.64,18.67
1601.3,1542.94,50.4,1.64,18.67
1601.4,1543.03,50.48,1.77,18.67
1601.5,1543.13,50.42,1.53,18.67
1601.6,1543.23,50.41,1.59,20.24
1601.7,1543.32,50.42,1.76,21.82
1601.8,1543.42,50.45,1.8,21.82
1601.9,1543.51,50.42,1.65,21.82
1602.0,1543.61,50.36,1.35,21.82
1602.1,1543.71,50.42,1.68,21.82
1602.2,1543.8,50.46,1.62,22.04
1602.3,1543.9,50.48,1.78,22.04
1602.4,1544.0,50.26,1.42,22.04
1602.5,1544.09,50.54,1.28,22.04
1602.6,1544.19,50.35,1.7,18.67
1602.7,1544.28,50.42,1.82,18.67
1602.8,1544.38,50.42,1.88,18.67
1602.9,1544.48,50.29,2.02,18.67
1603.0,1544.57,50.72,1.6,18.67
1603.1,1544.67,50.49,1.87,24.81
1603.2,1544.77,50.2,1.81,24.81
1603.3,1544.86,50.4,2.24,24.81
1603.4,1544.96,50.39,1.73,24.81
1603.5,1545.05,50.5,1.56,24.81
1603.6,1545.15,50.45,0.67,15.12
1603.7,1545.25,50.77,1.35,15.12
1603.8,1545.34,50.55,1.6,15.12
1603.9,1545.44,50.62,1.74,15.12
1604.0,1545.54,50.04,1.45,15.12
1604.1,1545.63,50.49,1.58,8.48
1604.2,1545.73,50.7,1.6,8.48
1604.3,1545.82,50.29,1.68,8.48
1604.4,1545.92,50.48,1.25,8.48
1604.5,1546.02,50.98,1.37,8.48
1604.6,1546.11,50.6,1.45,5.15
1604.7,1546.21,50.84,1.27,5.15
1604.8,1546.3,50.56,1.3,5.15
1604.9,1546.4,50.59,1.77,5.15
1605.0,1546.5,50.57,1.51,5.15
1605.1,1546.59,50.98,1.58,13.51
1605.2,1546.69,50.52,1.5,13.51
1605.3,1546.79,50.82,1.54,13.51
1605.4,1546.88,50.63,1.85,13.51
1605.5,1546.98,50.3,1.39,13.51
1605.6,1547.07,50.74,1.51,17.1
1605.7,1547.17,50.54,1.73,17.1
1605.8,1547.27,50.12,1.54,17.1
1605.9,1547.36,50.58,1.54,17.1
1606.0,1547.46,50.69,1.58,17.89
1606.1,1547.55,50.58,1.56,17.89
1606.2,1547.65,50.59,1.66,17.89
1606.3,1547.75,50.34,1.73,17.89
1606.4,1547.84,50.42,1.58,17.89
1606.5,1547.94,50.56,1.57,17.89
1606.6,1548.03,50.61,1.78,14.84
1606.7,1548.13,50.56,1.47,14.84
1606.8,1548.23,50.7,1.51,14.84
1606.9,1548.32,50.33,1.61,14.84
1607.0,1548.42,50.54,1.66,14.84
1607.1,1548.51,50.58,1.56,18.37
1607.2,1548.61,50.59,1.49,18.37
1607.3,1548.71,50.55,1.45,18.37
1607.4,1548.8,50.52,1.57,18.37
1607.5,1548.9,50.57,1.69,18.37
1607.6,1548.99,50.66,1.55,14.76
1607.7,1549.09,50.56,1.62,14.76
1607.8,1549.19,50.55,1.86,14.76
1607.9,1549.28,50.67,1.34,14.76
1608.0,1549.38,50.22,1.49,14.76
1608.1,1549.47,50.5,1.52,10.46
1608.2,1549.57,50.61,1.51,10.46
1608.3,1549.67,50.43,1.5,10.46
1608.4,1549.76,50.51,1.67,10.46
1608.5,1549.86,50.52,1.54,10.46
1608.6,1549.95,50.69,1.4,8.02
1608.7,1550.05,50.76,1.39,8.02
1608.8,1550.15,50.57,1.25,8.02
1608.9,1550.24,50.41,1.29,8.02
1609.0,1550.34,50.77,1.32,8.02
1609.1,1550.43,50.52,1.48,3.78
1609.2,1550.53,50.5,1.39,3.78
1609.3,1550.63,51.14,1.67,3.78
1609.4,1550.72,51.3,1.68,3.78
1609.5,1550.82,51.14,1.77,3.78
1609.6,1550.91,51.15,1.77,6.19
1609.7,1551.01,51.08,1.85,6.19
1609.8,1551.11,51.06,1.76,6.19
1609.9,1551.2,51.27,1.94,6.19
1610.0,1551.3,51.12,1.75,6.19
1610.1,1551.39,51.13,1.71,12.38
1610.2,1551.49,51.23,1.74,12.38
1610.3,1551.59,51.03,1.92,12.38
1610.4,1551.68,51.04,1.69,12.38
1610.5,1551.78,51.11,1.84,12.38
1610.6,1551.87,51.12,1.99,13.51
1610.7,1551.97,51.04,1.78,13.51
1610.8,1552.07,51.11,1.77,13.51
1610.9,1552.16,51.14,1.93,13.51
1611.0,1552.26,51.37,1.91,13.51
1611.1,1552.35,51.24,1.92,13.76
1611.2,1552.45,51.14,1.79,13.76
1611.3,1552.54,51.24,1.98,13.76
1611.4,1552.64,51.18,1.92,13.76
1611.5,1552.74,51.1,2.0,13.76
1611.6,1552.83,51.41,1.76,13.76
1611.7,1552.93,51.15,2.08,15.77
1611.8,1553.02,51.12,1.9,15.77
1611.9,1553.12,51.4,1.82,15.77
1612.0,1553.22,51.12,2.06,15.77
1612.1,1553.31,51.2,1.85,12.35
1612.2,1553.41,50.94,1.83,12.35
1612.3,1553.5,51.27,1.93,12.35
1612.4,1553.6,51.14,1.87,12.35
1612.5,1553.69,51.04,1.91,12.35
1612.6,1553.79,51.16,1.93,14.22
1612.7,1553.89,50.98,2.14,14.22
1612.8,1553.98,51.2,1.91,14.22
1612.9,1554.08,51.17,1.96,14.22
1613.0,1554.17,51.23,1.98,14.22
1613.1,1554.27,51.19,1.96,14.33
1613.2,1554.37,51.16,1.9,14.33
1613.3,1554.46,51.27,1.76,14.33
1613.4,1554.56,51.15,2.0,14.33
1613.5,1554.65,51.16,2.14,14.33
