,test_loss,test_acc,test_r2,test_mse,test_mae
0,5.068246433045715,0.612602168687413,-1.7921590013640656,322.1273160399683,15.993017691172046
1,3.5511365809943527,0.6740446650922397,-0.9560676793054574,225.66867833077188,13.227086377515743
2,3.0803215870982967,0.69722532967438,-0.696646994908884,195.73969192666854,12.221822347343485
3,2.761835625016829,0.7132879473049663,-0.5212139920555403,175.50024197902164,11.497018924687792
4,2.5452906899154186,0.7246900387012625,-0.40196634914333207,161.74281515030734,10.974557053622725
5,2.395949305209797,0.7328191873039902,-0.3197394225087198,152.2564144223821,10.598230237288671
6,2.3010494615882635,0.7382700318848245,-0.26751398070611465,146.2312412898148,10.351484171852496
7,2.2384776250692084,0.74203591766952,-0.23309137642813815,142.259955585185,10.185062397290764
8,2.1905851816991344,0.7449230079613199,-0.20675082852554483,139.22108494968774,10.056587159599204
9,2.1585726066259667,0.7469429802763188,-0.18914408436648356,137.18982052764372,9.969017692827062
10,2.1353879207745194,0.7484624015142984,-0.17639146762135627,135.71856971327844,9.904341978533704
11,2.1165777925634757,0.7497130904215623,-0.16604389007175802,134.52478476695586,9.851129546047014
12,2.0990665438584983,0.7508434922366473,-0.15641118306469748,133.41347339361792,9.801695791026335
13,2.083854851895012,0.7518077646747906,-0.1480464644725501,132.44844799635302,9.75917006544403
14,2.0681561321252957,0.7527593030487452,-0.13941528320346075,131.4526811882637,9.715717632601125
15,2.0525426988024265,0.7536720815633444,-0.13083268585456587,130.4625194362644,9.672912402486332
16,2.037275528535247,0.7545556251362445,-0.122441216496332,129.4944078420898,9.631062309980255
17,2.023014009348117,0.7553783350504629,-0.11460393200880103,128.59023174904615,9.592040663713117
18,2.0096496427431703,0.7561528148201303,-0.10726182673993168,127.74318376102386,9.555730500571098
19,1.994972249493003,0.7569875995337505,-0.09919894690052522,126.8129810609083,9.515993511242925
20,1.9836786946980283,0.757649217168141,-0.09299850785084662,126.0976454412797,9.485678664113248
21,1.9734941353090107,0.7582539153600302,-0.08740879089861675,125.45276794026157,9.458495190624278
22,1.961248918552883,0.7589543109024138,-0.08068648172011628,124.67722492419288,9.425719673409068
23,1.9501250076573342,0.759604310134083,-0.07458037525764571,123.9727723177156,9.395805764239624
24,1.9398792928550392,0.760214651647198,-0.06895774618150052,123.32409779291164,9.368280614751532
25,1.9304029427003115,0.7607911691335719,-0.06375717947855253,122.72411598919307,9.34262233204679
26,1.9203230562852696,0.7613962287676092,-0.05822388948381829,122.08574838405173,9.315073044571417
27,1.9101937217637897,0.7620074680284501,-0.05266192743821341,121.44407292617431,9.287000041969383
28,1.9002978800563142,0.7626091986649005,-0.047227949190089324,120.8171627725503,9.2594186849225
29,1.8917851715814322,0.7631373648268271,-0.042553427044855985,120.27786996305136,9.235468960717398
30,1.8833647331921384,0.7636592637936025,-0.03793007650417923,119.74448074701726,9.211809665601699
31,1.8768316017230973,0.7640855829330364,-0.03434350637599182,119.33070337666776,9.193245957312318
32,1.8687543633859605,0.76458839749868,-0.029907922650378893,118.81897654452666,9.170333973181034
33,1.8623177739791572,0.7650128298564673,-0.026372748954439418,118.4111287056852,9.15166461336895
34,1.8549857346806675,0.7654829474220597,-0.022345808930484212,117.94654650204389,9.130533582416316
35,1.8500806482043117,0.7658299260943179,-0.019651747246741458,117.63573653061813,9.11594988045012
36,1.8430032344767824,0.7662813961333097,-0.01576435073116289,117.18725325823475,9.09543210064862
37,1.8387492028996348,0.766587930296318,-0.013428248251128538,116.9177405186235,9.08269876072959
38,1.8325551627203822,0.7669871738001306,-0.010026284674616637,116.52526093718416,9.064642763358192
39,1.8292942645493895,0.7672360882262601,-0.00823567644669998,116.31868107469923,9.054672760883554
40,1.823390087694861,0.7676083496699949,-0.004993361139639996,115.94461988151205,9.0375626808918
41,1.818914196221158,0.7679221503874485,-0.0025359360822623245,115.6611103329098,9.024319600948772
42,1.8105021723313257,0.7684339123209447,0.0020838250334936914,115.1281352235993,9.000169170446853
43,1.8072461418341845,0.7686760984166955,0.0038692364478712937,114.92215490992103,8.990720989799168
44,1.800242161611095,0.7691073636435691,0.007714934212373903,114.47848236169763,8.97058982108109
45,1.796986199915409,0.7693423356660893,0.009501135076600553,114.27241097034043,8.961042806773017
46,1.789623876917176,0.7697883158308603,0.013545359034758286,113.80583474439146,8.939593860966701
47,1.7867668977705762,0.7699995968693929,0.015113741841638162,113.62489270496727,8.930932532701101
48,1.779904605122283,0.770410375232653,0.018883208239047322,113.19001485850255,8.910925125676314
49,1.7786504983669147,0.7705308104198688,0.019570266496986122,113.11074994827186,8.906972797945839
50,1.773166662431322,0.7708550161737904,0.022581523863751563,112.76334557302394,8.891136957137727
51,1.7720827417215332,0.7709593704003566,0.023174424987834397,112.69494343414698,8.887863447733658
52,1.7669188041472808,0.7712675133975723,0.026009943908781752,112.36781374735655,8.872930910599706
53,1.7662374892970547,0.7713402077501891,0.026381178506729386,112.32498495264979,8.870974482448716
54,1.7611197679070756,0.7716381774426032,0.029191129469556598,112.00080500393724,8.856254284399771
55,1.7598976343870163,0.7717334165680405,0.02985967577147497,111.92367579110224,8.852787377722755
56,1.7559415615396574,0.7719684368050652,0.03203136992679301,111.67313060038404,8.841387232075807
57,1.7548249550163746,0.772063189950881,0.03264298165108137,111.60256984682117,8.837990250772028
58,1.750269039766863,0.7723362763441536,0.035145677961327504,111.313837419732,8.824555793847052
59,1.7485160450451076,0.7724615412596327,0.036107413352239104,111.20288340885237,8.819286165865497
60,1.7450559565331787,0.7726721592642856,0.03800717691132549,110.98371045484078,8.809162389329925
61,1.7454956120345742,0.772678673319929,0.03776328972369447,111.01184736435407,8.810347001033323
62,1.7416233333060518,0.7729049619431505,0.03988954525258148,110.76654436176686,8.799082047398004
63,1.7401000653626397,0.7730095179879224,0.04072387619237794,110.67028881679452,8.794748163443641
64,1.7400268570054322,0.7730416603286172,0.040761699384928796,110.66592521017523,8.794495290445496
65,1.7374277819180861,0.7731965181799177,0.0421877451554864,110.5014043872581,8.78702827866266
66,1.7343472371576354,0.7733813663151596,0.04387834522490297,110.3063623203156,8.778137530569808
67,1.7342124073766172,0.7734164594026589,0.04395025277650544,110.29806645085065,8.777676149161133
68,1.7295826697954908,0.7736812303660061,0.04649300307656756,110.00471305331179,8.764187694215693
69,1.7273806183366105,0.7738173057135013,0.04770096418698744,109.86535233990324,8.757833555349375
70,1.7297012999188155,0.7737232505887718,0.04642355199138193,110.01272552382511,8.764446958098915
71,1.7238308693049476,0.7740538373998418,0.049648969754916616,109.64061377561612,8.747237651076777
72,1.7201308093499392,0.7742713823612577,0.051680639099909165,109.40622304326047,8.736464241623947
73,1.7227643799269572,0.774158554982682,0.05023077538707732,109.57349170747698,8.744110621860576
74,1.715778562007472,0.77454766206783,0.0540691652093197,109.13066226590504,8.723666197023661
75,1.7150743847014382,0.7746094261817555,0.054453989660838364,109.08626562959111,8.721603720123406
76,1.7138917298289016,0.7746945919682113,0.05510211811320276,109.011491994312,8.71810531767719
77,1.709041174966842,0.774970270954745,0.057766330789860376,108.70412565934609,8.703962277704964
78,1.7080320123350248,0.7750407246341905,0.05831837600006451,108.64043700772957,8.701136864106273
79,1.7088161391438916,0.7750241737545724,0.05788534467327122,108.69039520101047,8.70336570731482
80,1.7020548431901261,0.7753979135594438,0.061599873370552616,108.26185543696977,8.683630685872387
81,1.7019638161873445,0.7754240312452151,0.061647203728672606,108.25639500250992,8.68345510126331
82,1.7016352532664314,0.7754627767626492,0.061825704591284225,108.23580161805158,8.682478340976434
83,1.6976746434811503,0.7756895990291294,0.06400069111307949,107.98487659180962,8.670915196081037
84,1.6965242823353037,0.775770250852847,0.06463082326136493,107.91217916391297,8.667570390569068
85,1.6930566759547219,0.7759722336285811,0.06653485030707951,107.69251433766061,8.657426447485445
86,1.6902994678821415,0.776133656040585,0.06804817157298015,107.51792466799903,8.649411813156375
87,1.68992241343949,0.7761773671439044,0.06825385516167115,107.49419525203592,8.6481986330948
88,1.686023409711197,0.7764066077419441,0.0703959972729149,107.24705943758767,8.63654627888138
89,1.6822567880153656,0.7766311690787753,0.07246507932190605,107.00835245607895,8.625301168944228
90,1.6787737070117146,0.7768381124491879,0.07437813194278975,106.78764636236887,8.614930835092501
91,1.676846421440132,0.7769630298595921,0.07543606029238392,106.66559470999131,8.609129887381982
92,1.6746508403448388,0.7771015887448343,0.07664172315293927,106.52649914232127,8.602490377866898
93,1.6720957813085988,0.7772627258808562,0.07804503470253621,106.36460113335447,8.594749016957364
94,1.669338168343529,0.7774372791671863,0.07956001618108688,106.18981992737825,8.586360139560314
