,test_loss,test_acc,test_r2,test_mse,test_mae,train_loss,train_acc,train_r2,train_mse,train_mae
0,2.837410324253142,0.6518869097809965,0.5854927510005835,10.143962725755433,2.5530271767600157,9.291718419117387,0.6442243269638508,0.5320708715997082,27.667130934637637,4.3175024029680715
1,3.10602036700584,0.4873604833090138,0.5385294820084071,11.293263856884586,3.0866129645106515,9.91829417264671,0.48400800364782026,0.4919246925926364,30.04084422517654,4.954527689273235
2,1.352752881415654,0.7146053226385112,0.8017145143354323,4.852510011574053,1.9170680917556826,4.060627251987171,0.7216665142289429,0.7953469978663555,12.100467918198287,3.020596519245401
3,0.7346922616707161,0.8424185787502757,0.8940558056711538,2.5927024457985253,1.2500556906070954,2.338299282117987,0.8367413430972918,0.883983730596464,6.859665537619527,2.1060431348154074
4,1.0850196898682043,0.7666070490097892,0.8417594183918911,3.872517466001606,1.659770350798662,3.4968458278781327,0.7611690490844772,0.8243503802418995,10.385592034162514,2.7727577355393422
5,1.1220700184931047,0.7711615998264333,0.8363509317358958,4.00487579549668,1.6710675194265876,3.6247416880960373,0.7706345208813925,0.8178645030809482,10.769080904050757,2.792463813739306
6,1.190820887510199,0.7764986337293097,0.8258022686137585,4.26302627603909,1.6859052074658145,3.8240978355315747,0.7709761282363663,0.8073819069958768,11.388882794589382,2.8567049643408478
7,1.0801146397716366,0.7992396421048438,0.842177451944389,3.8622872063743268,1.5750769375107945,3.4210860455314105,0.8003950131737597,0.8279214429661874,10.174446683355976,2.6526513412978856
8,1.1571467754547484,0.7944834775540102,0.8310235653657911,4.135248921697089,1.6219030825289187,3.6297682149488537,0.7953727159461439,0.8175989235267189,10.784783761288011,2.723475524023728
9,1.0901975744927768,0.8115368808963723,0.840517620344645,3.902907171210836,1.5358360796076402,3.492540927310074,0.8080102484985641,0.8240695918113392,10.402194142904506,2.6264833250250232
10,1.169625510519836,0.7926299992980346,0.8283656147329906,4.200295195824045,1.6352673709539451,3.713976300782633,0.7902756934568715,0.8123561025361469,11.094774753532752,2.770742517831765
11,0.9794740441720933,0.8194841067185549,0.8569083228241496,3.5017883116434927,1.4597770005151827,3.0580719298277472,0.8179774674739553,0.8462262880883114,9.092140590415282,2.466235188191326
12,0.9774893830763176,0.8217258231182738,0.8569376474450731,3.501070669521883,1.4520783218219868,3.054558200005431,0.8202292632975599,0.8461161920307921,9.098650213035237,2.4569437843173527
13,0.8803651674825232,0.837651347872973,0.8715413046883171,3.143684990277984,1.3437624198120688,2.7691022735978095,0.8259500341572039,0.8608729976502738,8.22612818251541,2.3077109415127164
14,0.8237923381384462,0.8433061975878918,0.8803788392288713,2.927409831801605,1.3008050384826628,2.592496897651017,0.8356787064519551,0.8703830870305584,7.663827457651454,2.2322778682242603
15,0.68361247159919,0.8598606416015985,0.9017787753314483,2.403703299088119,1.1697979240770737,2.1506971421590606,0.8517810587634209,0.8935574087731009,6.293605013572594,2.0141450312745537
16,0.5523508801998105,0.8751098368422328,0.9224607775256598,1.8975662897631798,1.0385247730761376,1.727957725743181,0.8698228995543772,0.9164555397933869,4.939712830663241,1.7786895317680913
17,0.4411679804325104,0.8926803201031931,0.9399170519658988,1.4703703898608567,0.8998774181634179,1.3980814549172464,0.8855014647990948,0.9343035910724452,3.884415475369287,1.5610144823628491
18,0.3577460985034122,0.9054270875129146,0.9537870094730303,1.1309400607175626,0.7873493464683601,1.13569929574669,0.900480534120035,0.9493199182587362,2.9965487767502084,1.3639655124275107
19,0.2909032604438835,0.9211607752184676,0.9653641645699336,0.8476199738993901,0.6611181559260049,0.9254689645936196,0.9136208898225384,0.9618771753373474,2.254078913928082,1.1574838158486331
20,0.26475112343541696,0.9282344156749686,0.9707218714049259,0.7165043454975212,0.599855928927229,0.8510541044861384,0.9192265276677559,0.9673225865967148,1.9321094164938737,1.0614481937675044
21,0.2545751733778161,0.9329731285864324,0.9731700285297555,0.6565922096277377,0.5612544802391426,0.8255842217085956,0.9194768489023519,0.9697126632061268,1.7907919423659326,1.011645988067233
22,0.29588708757364657,0.9204964216130204,0.9665926477857814,0.8175561137838964,0.6567030501044986,0.9553569217512177,0.9101047678951963,0.9627114950966309,2.2047482939250713,1.1563986575954517
23,0.33122284269484226,0.91055916219773,0.9618693162598316,0.9331470933295577,0.7226936207706869,1.0768915609969554,0.9051420035345459,0.9572055279580463,2.5302982639938714,1.2568157839836558
24,0.32357437865721295,0.9065459936724385,0.9620323260026578,0.9291578633241606,0.7397563243778643,1.056643189686156,0.9048715950772153,0.957286661681646,2.5255010901959416,1.2709224803816308
25,0.32379830301943,0.9098088946379803,0.9604987729389045,0.9666874967726286,0.73634793328718,1.0552439818313815,0.9016197205715993,0.9557593277263744,2.61580739078014,1.2802951540754854
26,0.32164941626251675,0.9050886336551758,0.9611780851655157,0.9500631363482257,0.7514798880197573,1.0512474131806187,0.9039367129276188,0.956466177654357,2.574013648262995,1.2835655913364499
27,0.34501894713321235,0.902419865796436,0.9584981895351858,1.0156464559369724,0.7736908151333556,1.1263109987183952,0.9012093326661682,0.9536081283244043,2.7430008307873734,1.3189233977604327
28,0.35463472177798394,0.9000987138909127,0.9562902651866467,1.0696795333968563,0.7948230393044895,1.1617312567756244,0.8974171567782973,0.9509324200169075,2.901206780349643,1.3594334485698414
29,0.33210020400292706,0.9043567907259232,0.9600896633241528,0.9766993667527247,0.7575803208558122,1.0903917727742964,0.9011286182811987,0.9551505819761688,2.651800551612897,1.2948319712381875
30,0.3295890314402641,0.9046486592309095,0.9600765216934932,0.9770209732189291,0.7570534050132007,1.0910933200987074,0.8988635017346218,0.9546752544725206,2.679905124468254,1.3039471728531509
31,0.33722168355598114,0.9016027205848186,0.9588991225918597,1.005834685473993,0.7757519596843445,1.1254343502498614,0.8957845126086297,0.9528655521113845,2.7869069526071586,1.33886340132343
32,0.3005344380362658,0.9056252055437455,0.9635573020128039,0.8918381304559548,0.7377469211599208,1.0141466658408262,0.8996932784887895,0.9576424361655227,2.50446529945073,1.279348226105915
