MD,WOBA,SPPA,TQA,ROPA,RPMA,MFIA,HKLA,Gamma
1717.76,55.9928,18.6831,7.512,29.125,51.1204,905.472,55.9928,156.203478169839
1717.78,55.9974,18.6838,7.63888,29.125,51.0729,905.472,55.9974,158.005739016856
1717.84,55.8982,18.7136,7.70125,29.125,51.1261,905.829,55.8982,154.661955876312
1717.95,55.9393,18.9247,7.19975,29.125,51.0615,905.591,55.9393,179.840504950402
1718.01,55.8746,18.9691,7.4735,29.125,51.1318,905.472,55.8746,161.413248574768
1718.03,55.887,18.9694,7.55613,29.125,51.2686,905.472,55.887,135.637082486889
1718.09,55.8732,19.0039,7.67837,29.125,51.3066,905.472,55.8732,129.340628412433
1718.12,55.9172,18.9914,7.54175,29.125,51.3998,905.472,55.9172,166.82265584129
1718.2,55.9011,19.0126,7.66062,29.125,51.5708,905.472,55.9011,169.995685572306
1718.26,55.9123,18.9481,7.68975,29.125,51.2971,906.186,55.9123,174.071304506051
1718.29,55.9254,18.9125,7.69312,29.125,51.0235,906.186,55.9254,183.574757844363
1718.35,56.0502,18.8823,7.7075,29.125,51.1565,905.71,56.0502,182.446577842162
1718.37,56.0716,18.8656,7.567,29.125,51.206,905.591,56.0716,184.803791425109
1718.51,56.0331,18.9946,7.60463,29.4343,50.9152,905.829,56.0331,188.138677102401
1718.53,56.022,18.9855,7.72038,29.4343,51.052,905.472,56.022,163.670909688531
1718.62,56.0666,18.9639,7.226,29.4343,51.4986,905.472,56.0666,168.84607278128
1718.71,55.9258,19.0197,7.15013,29.4343,51.5138,905.829,55.9258,165.856353304857
1718.85,55.8657,19.2085,7.544,29.4343,50.9684,905.472,55.8657,143.41971627575
1718.95,55.9346,19.1544,7.56175,29.4343,50.957,905.948,55.9346,144.606205926945
1719.01,56.0634,19.2318,7.65338,29.4343,51.0083,905.829,56.0634,152.628514610142
1719.04,56.002,19.2196,7.55688,29.4343,50.8924,906.067,56.002,141.517670494876
1719.1,55.9484,19.2232,7.47612,29.4343,51.2421,905.472,55.9484,149.744488932869
1719.12,55.9297,19.2636,7.70062,29.4343,51.2857,905.472,55.9297,146.097506362704
1719.21,55.7537,19.3441,7.55613,29.4343,51.3504,905.472,55.7537,137.10682179429
