MD,TVD,RPMA,WOBA,ROPA
2993.051,2793.8435,139.0,8.891926,3.14
2993.052,2539.3662,168.22,13.6667385,40.09339
2993.076,2793.86,139.0,8.891926,3.14
2993.093,2668.219,282.46,6.1284947,15.59
2993.101,2793.877,139.0,8.891926,3.14
2993.118,2668.2363,282.46,6.1284947,15.59
2993.127,2539.4421,170.0,13.816423,40.10863
2993.143,2668.2534,282.46,6.1284947,15.59
2993.151,2793.9067,139.0,8.891926,3.14
2993.193,2668.2979,282.46,6.1284947,15.59
2993.218,2668.3076,282.46,6.1284947,15.59
2993.227,2539.4421,170.0,13.816423,40.10863
2993.243,2668.3323,282.46,6.1284947,15.59
2993.251,2793.9639,139.0,8.891926,3.14
2993.268,2668.3567,282.46,6.1284947,15.59
2993.276,2793.9785,139.0,8.891926,3.14
2993.277,2539.518,170.0,14.306303,40.117775
2993.293,2668.3643,282.46,6.1284947,15.59
2993.301,2793.9944,139.0,8.891926,3.14
2993.351,2794.0232,139.0,8.891926,3.14
2993.376,2794.0286,139.0,8.891926,3.14
2993.393,2668.4453,282.46,6.1284947,15.59
2993.401,2794.0435,139.0,8.891926,3.14
2993.426,2794.0667,139.0,8.891926,3.14
2993.451,2794.0767,139.0,8.891926,3.14
2993.468,2668.5178,282.46,6.1284947,15.59
2993.493,2668.5337,282.46,6.1284947,15.59
2993.501,2794.1106,139.0,8.891926,3.14
2993.502,2539.594,170.0,14.728145,40.14216
2993.543,2668.5808,282.46,6.1284947,15.59
2993.568,2668.6038,282.46,6.1284947,15.59
2993.577,2539.6318,169.905,14.852882,40.15435
2993.593,2668.625,282.46,6.1284947,15.59
2993.601,2794.1614,139.0,8.891926,3.14
2993.626,2794.1782,139.0,8.891926,3.14
2993.627,2539.67,169.81,14.97762,40.166546
2993.643,2668.653,282.46,6.1284947,15.59
2993.651,2794.1948,139.0,8.891926,3.14
2993.668,2668.6814,282.46,6.1284947,15.59
2993.676,2794.2053,139.0,8.891926,3.14
2993.693,2668.6914,282.46,6.1284947,15.59
2993.701,2794.2192,139.0,8.891926,3.14
2993.718,2668.7158,282.46,6.1284947,15.59
2993.726,2794.2393,139.0,8.891926,3.14
2993.727,2539.7456,169.79,14.9050455,40.13911
2993.743,2668.7283,282.46,6.1284947,15.59
2993.768,2668.7603,282.46,6.1284947,15.59
2993.776,2794.2659,139.0,8.891926,3.14
2993.777,2539.7456,169.79,14.9050455,40.13911
2993.793,2668.77,282.46,6.1284947,15.59
2993.818,2668.7996,282.46,6.1284947,15.59
2993.826,2794.2937,139.0,8.891926,3.14
2993.843,2668.8167,282.46,6.1284947,15.59
2993.851,2794.3127,139.0,8.891926,3.14
2993.852,2539.7456,169.79,14.9050455,40.13911
2993.877,2539.8215,170.52,14.982156,40.13911
2993.893,2668.856,282.46,6.1284947,15.59
2993.902,2539.8215,170.52,14.982156,40.13911
2993.918,2668.883,282.46,6.1284947,15.59
2993.926,2794.3567,139.0,8.891926,3.14
2993.943,2668.8953,282.46,6.1284947,15.59
2993.968,2668.9175,282.46,6.1284947,15.59
2993.976,2794.3848,139.0,8.687983,4.06
2993.977,2539.8215,170.52,14.982156,40.13911
2993.993,2669.343,282.57333,5.666223,11.496667
2994.026,2794.412,139.0,8.687983,4.06
2994.027,2539.8975,169.48,14.923189,40.102535
2994.043,2668.9802,282.63,5.435087,9.45
2994.051,2794.4216,139.0,8.687983,4.06
2994.068,2669.0022,282.63,5.435087,9.45
2994.076,2794.4373,139.0,8.687983,4.06
2994.118,2669.0305,282.63,5.435087,9.45
2994.126,2794.4722,139.0,8.687983,4.06
2994.127,2539.8975,169.48,14.923189,40.102535
2994.151,2794.4766,139.0,8.687983,4.06
2994.176,2794.4915,139.0,8.687983,4.06
2994.177,2539.8975,169.48,14.923189,40.102535
2994.193,2669.1042,282.63,5.435087,9.45
2994.201,2794.5112,139.0,8.687983,4.06
2994.202,2539.9734,169.0,15.394925,40.145206
2994.218,2669.1213,282.63,5.435087,9.45
2994.226,2794.5176,139.0,8.687983,4.06
2994.227,2539.9734,169.0,15.394925,40.145206
2994.243,2669.1436,282.63,5.435087,9.45
2994.251,2794.5334,139.0,8.687983,4.06
2994.268,2669.1655,282.63,5.435087,9.45
2994.276,2794.552,139.0,8.687983,4.06
2994.293,2669.1877,282.63,5.435087,9.45
2994.301,2794.5686,139.0,8.687983,4.06
2994.302,2539.9734,169.0,15.394925,40.145206
2994.326,2794.5789,139.0,8.687983,4.06
2994.343,2669.2224,282.63,5.435087,9.45
2994.351,2794.5913,139.0,8.687983,4.06
2994.368,2669.2344,282.63,5.435087,9.45
2994.376,2794.6018,139.0,8.687983,4.06
2994.401,2794.628,139.0,8.687983,4.06
2994.443,2669.301,282.63,5.435087,9.45
2994.451,2794.65,139.0,8.687983,4.06
2994.452,2540.049,169.59,15.276991,40.17264
2994.468,2669.323,282.63,5.435087,9.45
2994.476,2794.6648,139.0,8.687983,4.06
2994.493,2669.3416,282.63,5.435087,9.45
2994.501,2794.6738,139.0,8.687983,4.06
2994.518,2669.3574,282.63,5.435087,9.45
2994.543,2669.3796,282.63,5.435087,9.45
2994.551,2794.7034,139.0,8.687983,4.06
2994.568,2669.3967,282.63,5.435087,9.45
2994.576,2794.726,139.0,8.687983,4.06
2994.577,2540.1248,169.44,15.549147,40.10863
2994.593,2669.4165,282.63,5.435087,9.45
2994.601,2794.7402,139.0,8.687983,4.06
2994.618,2669.4336,282.63,5.435087,9.45
2994.676,2794.7874,139.0,8.687983,4.06
2994.693,2669.5122,282.63,5.435087,9.45
2994.701,2794.7979,139.0,8.687983,4.06
2994.726,2794.8071,139.0,8.687983,4.06
2994.743,2669.5405,282.63,5.435087,9.45
2994.752,2540.2004,169.0,15.721512,40.129967
2994.768,2669.5625,282.63,5.435087,9.45
2994.793,2669.586,282.63,5.435087,9.45
2994.801,2794.8513,139.0,8.687983,4.06
2994.802,2540.2383,169.425,15.975523,40.13759
2994.818,2669.613,282.63,5.435087,9.45
2994.851,2794.8818,139.0,8.687983,4.06
2994.868,2669.6375,282.63,5.435087,9.45
2994.876,2794.8992,139.0,8.687983,4.06
2994.901,2794.91,139.0,8.687983,4.06
2994.902,2540.2761,169.85,16.229534,40.145206
2994.918,2669.682,282.63,5.435087,9.45
2994.926,2794.9204,139.0,8.687983,4.06
2994.951,2794.9397,139.0,8.687983,4.06
2994.952,2540.352,170.0,16.483547,40.136063
2994.968,2669.726,282.63,5.435087,9.45
2994.976,2794.952,139.0,8.687983,4.06
2994.993,2669.7383,282.63,5.435087,9.45
2995.018,2669.7727,274.16,4.4867516,5.19
2995.043,2669.7825,274.16,4.4867516,5.19
2995.051,2795.001,139.0,8.953108,2.6599998
2995.068,2669.8071,274.16,4.4867516,5.19
2995.076,2795.015,139.0,8.953108,2.6599998
2995.077,2540.352,170.0,16.483547,40.136063
2995.093,2669.8267,274.16,4.4867516,5.19
2995.101,2795.0269,139.0,8.953108,2.6599998
2995.102,2540.4275,169.68,16.801062,40.06596
2995.118,2669.8413,274.16,4.4867516,5.19
2995.126,2795.036,139.0,8.953108,2.6599998
2995.143,2669.8635,274.16,4.4867516,5.19
2995.176,2795.069,139.0,8.953108,2.6599998
2995.177,2540.4275,169.68,16.801062,40.06596
2995.218,2669.92,274.16,4.4867516,5.19
2995.243,2669.9543,274.16,4.4867516,5.19
2995.252,2540.5032,168.7,16.959818,39.816025
2995.268,2669.964,274.16,4.4867516,5.19
2995.276,2795.1199,139.0,8.953108,2.6599998
2995.293,2669.9812,274.16,4.4867516,5.19
2995.302,2540.5032,168.7,16.959818,39.816025
2995.326,2795.1514,139.0,8.953108,2.6599998
2995.351,2795.1653,139.0,8.953108,2.6599998
2995.376,2795.1863,139.0,8.953108,2.6599998
2995.393,2670.067,274.16,4.4867516,5.19
2995.401,2795.202,139.0,8.953108,2.6599998
2995.402,2540.5032,168.7,16.959818,39.816025
2995.418,2670.0815,274.16,4.4867516,5.19
2995.426,2795.2144,139.0,8.953108,2.6599998
