MD,TVD,RPMA,WOBA,ROPA
253.452,253.46193,139.382,0.64772993,9.254948
253.502,253.52289,139.382,0.64772993,9.254948
253.577,253.59421,139.575,0.20320939,8.478927
253.702,253.70882,139.575,0.20320939,8.478927
253.777,253.7911,139.759,0.13290256,9.325051
253.827,253.84598,139.759,0.13290256,9.325051
253.852,253.87036,139.759,0.13290256,9.325051
253.902,253.91608,139.535,0.29528862,9.89015
253.977,253.97095,139.535,0.29528862,9.89015
254.027,254.04958,139.762,0.26308358,9.2964
254.077,254.08676,139.762,0.26308358,9.2964
254.202,254.20837,139.78,0.26444435,8.81573
254.227,254.22697,139.78,0.26444435,8.81573
254.302,254.32146,139.78,0.26444435,8.81573
254.352,254.35803,139.218,0.68220294,8.945271
254.377,254.37938,139.218,0.68220294,8.945271
254.402,254.41899,139.218,0.68220294,8.945271
254.502,254.51166,139.484,0.4699217,9.040063
254.577,254.58359,139.484,0.4699217,9.040063
254.702,254.7238,139.778,0.19277675,8.758123
254.802,254.82439,139.254,0.70533615,8.195462
254.827,254.84267,139.254,0.70533615,8.195462
254.852,254.85486,139.254,0.70533615,8.195462
254.952,254.96611,139.5265,0.6005563,7.9302864
254.977,254.97069,139.799,0.49577647,7.6651106
255.002,255.01335,139.799,0.49577647,7.6651106
255.102,255.1231,139.473,0.2494758,7.4639425
255.177,255.18709,139.473,0.2494758,7.4639425
255.252,255.26025,139.473,0.2494758,7.4639425
255.327,255.3395,139.412,0.39598614,7.697724
255.377,255.40045,139.412,0.39598614,7.697724
255.402,255.42178,139.55,0.2916599,8.20735
255.427,255.44313,139.55,0.2916599,8.20735
255.452,255.47057,139.55,0.2916599,8.20735
255.477,255.49495,139.55,0.2916599,8.20735
255.577,255.58029,139.417,0.34382302,8.320126
255.602,255.62296,139.417,0.34382302,8.320126
255.627,255.64429,139.417,0.34382302,8.320126
255.702,255.72354,139.417,0.34382302,8.320126
255.752,255.76317,139.561,0.4159442,8.097622
255.777,255.78755,139.561,0.4159442,8.097622
255.802,255.80888,139.561,0.4159442,8.097622
255.877,255.88799,139.0,0.39417177,8.412175
255.977,255.96129,139.0,0.39417177,8.412175
256.027,256.04663,139.492,0.2195387,8.854745
256.102,256.11673,139.492,0.2195387,8.854745
256.177,256.1882,139.875,0.43091276,9.217762
256.202,256.20514,139.875,0.43091276,9.217762
256.227,256.2417,139.875,0.43091276,9.217762
256.327,256.34534,139.032,0.5334246,9.263177
256.352,256.37582,139.032,0.5334246,9.263177
256.377,256.39105,139.032,0.5334246,9.263177
256.402,256.4185,139.032,0.5334246,9.263177
256.477,256.48828,139.518,0.39643973,9.33511
256.502,256.52213,139.518,0.39643973,9.33511
256.527,256.53735,139.518,0.39643973,9.33511
256.552,256.5602,139.518,0.39643973,9.33511
256.677,256.6806,138.942,0.60962814,9.541764
256.752,256.769,138.942,0.60962814,9.541764
