MD,TVD,RPMA,WOBA,ROPA
1424.076000000279,1396.9368048,128.22,4.1775857277,41.827704
1424.201000000279,1397.046228,118.62,3.3837990802,41.760648
1424.3760000002792,1397.2129536,118.04,2.5764046616,41.824656
1424.476000000279,1397.322072,129.0,2.6943386778,41.882568
1424.6260000002792,1397.448564,129.0,2.6671231356,41.855136
1424.7760000002793,1397.5938012,129.0,2.4085754847,41.873424
1424.9260000002791,1397.7359904,129.0,2.3722880951,41.855136
1425.0760000002792,1397.8713216,129.0,2.3722880951,41.855136
1425.1260000002792,1397.9258808,129.58,2.2951773922,41.852088
1425.1760000002794,1397.98044,129.58,2.2951773922,41.852088
1425.5260000002793,1398.3108432,129.0,2.8712397021,41.797224
1425.6510000002793,1398.4172184,129.0,2.8712397021,41.797224
1425.7010000002797,1398.4717776,129.0,2.4448628743,41.855136
1425.8510000002796,1398.5982696,129.5,2.3722880951,41.882568
1429.07600000028,1401.6490128,129.5,3.0118533368,41.839896
1429.20100000028,1401.7578264,129.0,3.1524669715,41.81856
1429.4760000002802,1402.0303176,126.73,3.1706106663,41.861232
1429.5010000002803,1402.0415952,124.54,3.4064786987,41.891712
1429.5510000002805,1402.0848768,124.54,3.4064786987,41.891712
1429.8010000002805,1402.328412,112.55,5.2707433394,36.576
1429.9510000002804,1402.4689248,112.55,5.2707433394,36.576
1429.9760000002805,1402.5003192,101.0,3.7421370525,35.44824
1430.0760000002804,1402.5777384,101.0,3.7421370525,35.44824
1430.1260000002803,1402.6350408,115.0,3.0436048027,40.221408
1430.1760000002805,1402.6896,115.0,3.0436048027,40.221408
1430.3760000002806,1402.8584592,126.0,2.9710300235,41.873424
1430.4760000002805,1402.9672728,128.77,2.9710300235,41.888664
1430.5260000002804,1403.0190888,128.77,2.9710300235,41.888664
1430.6010000002805,1403.0706,128.04,2.9619581761,41.327832
1430.6510000002806,1403.1248544,128.04,2.9619581761,41.327832
1430.7010000002806,1403.1766704,128.04,2.9619581761,41.327832
1430.7260000002805,1403.187948,127.11,3.1071077345,40.47744
1430.7510000002806,1403.2281816,127.11,3.1071077345,40.47744
1430.9260000002805,1403.3857632,128.0,3.2840087588,40.175688
1431.0260000002806,1403.47446,125.74,6.6043049072,37.798248
1431.1510000002806,1403.6003424,125.74,6.6043049072,37.798248
1431.1760000002807,1403.617716,117.68,6.849244787,29.06268
1431.7260000002807,1404.1245984,111.97,5.7651590227,38.026848
1431.8760000002808,1404.2818752,104.79,3.8600710687,37.347144
1431.9260000002807,1404.3333864,113.11,3.2477213692,39.249096
1432.0510000002807,1404.4394568,113.11,3.2477213692,39.249096
1432.101000000281,1404.4766424,124.32,3.0889640397,40.133016
1432.226000000281,1404.5967336,124.32,3.0889640397,40.133016
1432.2760000002809,1404.6482448,127.52,3.1207155056,40.169592
1432.4010000002809,1404.7628496,128.0,3.0481407264,40.193976
1432.4510000002808,1404.8058264,128.0,3.0481407264,40.193976
1432.501000000281,1404.8573376,128.0,3.0481407264,40.193976
1432.601000000281,1404.9631032,127.46,2.9075270917,40.151304
1432.726000000281,1405.0661256,127.96,2.948350405,40.175688
1432.851000000281,1405.192008,127.96,2.8530960073,40.209216
1432.951000000281,1405.2779616,127.96,2.8530960073,40.209216
1432.9760000002811,1405.3178904,127.96,2.8530960073,40.209216
1433.001000000281,1405.3349592,127.5,3.0708203449,40.129968
1433.0510000002812,1405.3806792,127.5,3.0708203449,40.129968
1433.1010000002811,1405.4352384,127.5,3.0708203449,40.129968
1433.151000000281,1405.4782152,129.19,3.2930806062,40.099488
1433.276000000281,1405.589772,129.19,3.2930806062,40.099488
1433.3010000002812,1405.6211664,127.78,3.4971971727,40.148256
1433.326000000281,1405.6440264,127.78,3.4971971727,40.148256
1433.4510000002813,1405.7470488,127.78,3.4971971727,40.148256
1433.8260000002813,1406.1131136,122.04,4.5223159289,40.169592
1433.901000000281,1406.167368,122.04,4.5223159289,40.169592
1433.9260000002812,1406.1929712,115.43,4.1412983381,40.175688
1433.9510000002813,1406.2188792,115.43,4.1412983381,40.175688
1433.9760000002814,1406.2560648,115.43,4.1412983381,40.175688
1434.1260000002812,1406.376156,116.0,3.8918225346,40.175688
1434.3760000002817,1406.6218248,118.36,3.8646069924,40.1574
