MD,TVA,RPMA,WOBA,ROPA
3664.3,105.75,69.0,7.18,1.4000000000000001
3664.4,105.77,69.0,6.875,1.35
3664.5,104.47,69.0,4.6,1.3
3664.6,104.22,69.0,5.29,1.25
3664.7,104.215,69.0,5.835,1.2
3664.8,104.095,69.0,6.565,1.55
3664.9,103.89,69.0,7.3,1.9
3665.0,103.87,69.0,7.71,1.9
3665.1,104.205,69.0,7.939999999999999,1.7999999999999998
3665.2,104.03,69.0,8.285,1.7999999999999998
3665.3,104.065,69.0,8.07,1.7999999999999998
3665.4,103.95,69.0,8.04,1.699999999999999
3665.5,103.605,69.0,7.83,1.6
3665.6,104.045,69.0,7.675,1.6
3665.7,103.99,69.0,7.865,1.6
3665.8,103.77,69.0,8.335,1.6
3665.9,103.75,69.0,8.43,1.6
3666.0,104.075,69.0,8.07,1.6
3666.1,104.13,69.0,7.8,1.6
3666.2,103.875,69.0,7.835,1.55
3666.3,103.59,69.0,8.07,1.5
3666.4,103.65,69.0,8.22,1.5
3666.5,103.86,69.0,8.03,1.6
3666.6,103.615,69.0,8.004999999999999,1.55
3666.7,103.38,69.0,7.98,1.5
3666.8,103.52,69.0,8.11,1.5
3666.9,103.69,69.0,7.96,1.6
3667.0,103.77,69.0,7.88,1.55
3667.1,103.16,69.0,7.79,1.5
3667.2,103.34,69.0,7.75,1.6
3667.3,103.575,69.0,8.155,1.6
3667.4,103.75,69.0,8.35,1.6
3667.5,103.53,69.0,8.16,1.5
3667.6,103.32,69.0,8.06,1.5
3667.7,103.56,69.0,7.9,1.6
3667.8,103.38,69.0,7.81,1.6
3667.9,103.52,69.0,7.58,1.6
3668.0,103.545,69.0,7.595,1.6
3668.1,103.32,69.0,7.65,1.6
3668.2,103.12,69.0,7.3,1.6
3668.3,103.725,69.0,7.595000000000001,1.5
3668.4,102.97,69.0,7.54,1.5
3668.5,102.81,69.0,7.76,1.6
3668.6,103.04,69.0,7.63,1.6
3668.7,103.19,69.0,7.57,1.6
3668.8,103.36,69.0,7.69,1.6
3668.9,103.07,69.0,7.71,1.6
3669.0,103.025,69.0,7.705,1.6
3669.1,102.47,69.0,7.9,1.5
3669.2,102.58,69.0,7.94,1.5
3669.3,102.965,69.0,7.859999999999999,1.6
3669.4,103.005,69.0,7.685,1.55
3669.5,102.63,69.0,7.62,1.5
3669.6,102.86,69.0,7.77,1.5
3669.7,102.78,69.0,7.78,1.5
3669.8,102.96,69.0,7.84,1.55
3669.9,102.51,69.0,7.73,1.6
3670.0,102.96,69.0,8.06,1.6
3670.1,102.79,69.0,7.960000000000001,1.6
3670.2,102.76,69.0,7.5,1.55
3670.3,102.605,69.0,7.625,1.5
3670.4,102.61,69.0,7.800000000000001,1.5
3670.5,102.46,69.0,7.99,1.5
3670.6,102.83,69.0,7.765,1.5
3670.7,102.73,69.0,7.59,1.5
3670.8,102.635,69.0,7.49,1.55
3670.9,102.535,69.0,7.115,1.6
3671.0,102.67,69.0,7.36,1.6
3671.1,102.395,69.0,7.555,1.6
3671.2,102.175,69.0,7.555,1.6
3671.3,102.64,69.0,7.39,1.6
3671.4,102.37,69.0,7.25,1.6
3671.5,102.26,69.0,7.24,1.5
3671.6,102.42,69.0,7.455,1.5
3671.7,102.65,69.0,7.67,1.6
3671.8,102.005,69.0,7.445,1.6
3671.9,102.05,69.0,7.12,1.6
3672.0,102.27,69.0,6.95,1.6
3672.1,101.96,69.0,7.22,1.5
3672.2,102.14,69.0,7.425000000000001,1.55
3672.3,102.22,69.0,7.36,1.6
3672.4,102.015,69.0,7.285,1.6
3672.5,102.155,69.0,7.81,1.6
3672.6,101.96,69.0,7.92,1.6
3672.7,101.905,69.0,8.145,1.5
3672.8,101.95,69.0,8.01,1.5
3672.9,102.04,69.0,7.92,1.5
3673.0,102.04,69.0,8.09,1.55
3673.1,101.43,69.0,7.94,1.6
3673.2,101.88,69.0,8.09,1.6
3673.3,102.075,69.0,8.395,1.5
3673.4,102.12,69.0,8.69,1.5
3673.5,101.905,69.0,8.735,1.5
3673.6,101.875,69.0,8.895,1.5
3673.7,101.76,69.0,8.61,1.5
3673.8,101.68,69.0,7.15,1.5
3673.9,101.79,69.0,7.775,0.7000000000000001
3674.0,101.95,69.0,8.48,0.7000000000000001
3674.1,101.71,69.0,7.93,1.4000000000000001
3674.2,101.7,69.0,7.32,1.4000000000000001
3674.3,102.0,69.0,7.15,1.4000000000000001
3674.4,101.75,69.0,6.73,1.4000000000000001
3674.5,101.515,69.0,7.115,1.3
3674.6,101.82,69.0,6.85,1.3
3674.7,101.36,69.0,6.615,1.4000000000000001
3674.8,101.33,69.0,7.12,1.4000000000000001
3674.9,101.48,69.0,7.57,1.3
3675.0,101.66,69.0,7.325,1.3
3675.1,101.81,69.0,6.67,1.3
3675.2,101.445,69.0,6.52,1.3
3675.3,101.62,69.0,6.15,1.3
3675.4,101.56,69.0,6.14,1.3
3675.5,101.1,69.0,6.45,1.3
3675.6,101.38,69.0,7.09,1.3
3675.7,101.59,69.0,7.58,1.4000000000000001
3675.8,100.71,69.0,7.59,1.4000000000000001
3675.9,101.33,69.0,7.035,1.3
3676.0,101.32,69.0,7.01,1.3
3676.1,101.345,69.0,6.965,1.3
3676.2,100.995,69.0,7.32,1.35
3676.3,101.38,69.0,7.135,1.4000000000000001
3676.4,101.325,69.0,7.16,1.35
3676.5,101.235,69.0,7.08,1.3
3676.6,101.15,69.0,6.72,1.3
3676.7,100.935,69.0,6.695,1.4000000000000001
3676.8,101.055,69.0,7.015,1.4000000000000001
3676.9,101.05,69.0,6.87,1.3
3677.0,100.745,69.0,6.859999999999999,1.3
3677.1,100.69,69.0,6.81,1.3
3677.2,101.22,69.0,7.15,1.3
3677.3,101.24,69.0,7.36,1.3
3677.4,100.995,69.0,7.285,1.3
3677.5,100.93,69.0,7.425,1.3
3677.6,100.71,69.0,7.07,1.3
3677.7,100.73,69.0,6.89,1.2
3677.8,101.38,69.0,6.67,1.2
3677.9,100.84,69.0,6.55,1.2
3678.0,101.48,69.0,6.88,1.2
3678.1,100.91,69.0,7.76,1.2
3678.2,100.57,69.0,8.83,1.2
3678.3,101.05,69.0,7.73,1.3
3678.4,100.94,69.0,7.23,1.3
3678.5,100.51,69.0,7.44,1.2
3678.6,100.7,69.0,6.85,1.2
3678.7,100.875,69.0,6.95,1.3
3678.8,100.695,69.0,6.775,1.25
3678.9,100.98,69.0,7.115,1.2
3679.0,100.96,69.0,6.915,1.2
3679.1,100.63,69.0,6.734999999999999,1.2
3679.2,100.05,69.0,6.43,1.2
3679.3,100.615,69.0,6.29,1.3
3679.4,100.89,69.0,6.53,1.3
3679.5,100.73,69.0,6.57,1.3
3679.6,100.74,69.0,6.22,1.3
3679.7,100.75,69.0,6.03,1.2
3679.8,100.54,69.0,6.28,1.2
3679.9,100.78,69.0,6.38,1.2
3680.0,100.59,69.0,6.57,1.2
3680.1,100.91,69.0,6.33,1.3
3680.2,100.34,69.0,6.54,1.2
3680.3,100.97,69.0,7.05,1.2
3680.4,100.22,69.0,7.71,1.2
3680.5,100.56,69.0,7.88,1.3
3680.6,100.71,69.0,7.66,1.3
3680.7,100.225,69.0,7.095000000000001,1.3
3680.8,100.63,69.0,7.28,1.4000000000000001
3680.9,100.125,69.0,7.65,1.4000000000000001
3681.0,100.655,69.0,7.5,1.35
3681.1,100.85,69.0,7.25,1.3
3681.2,100.595,69.0,7.21,1.35
3681.3,100.46,69.0,6.77,1.4000000000000001
3681.4,100.26,69.0,7.4,1.4000000000000001
3681.5,100.2,69.0,7.145,1.3
3681.6,100.41,69.0,7.685,1.3
3681.7,100.05,69.0,7.63,1.3
3681.8,99.885,69.0,7.535,1.35
3681.9,100.16,69.0,7.23,1.4000000000000001
3682.0,100.12,69.0,6.98,1.4000000000000001
3682.1,99.75,69.0,7.0,1.4000000000000001
3682.2,99.77,69.0,7.29,1.4000000000000001
3682.3,100.235,69.0,7.07,1.5
3682.4,100.135,69.0,7.65,1.5
3682.5,100.01,69.0,9.23,1.5
3682.6,100.19,69.0,6.57,1.5
3682.7,99.95,69.0,7.135,0.7000000000000001
3682.8,99.955,69.0,7.470000000000001,1.1
3682.9,99.955,69.0,7.875,1.5
3683.0,100.11,69.0,8.36,1.5
3683.1,100.175,69.0,7.84,1.5
3683.2,100.07,69.0,7.82,1.45
3683.3,99.885,69.0,7.935,1.4000000000000001
3683.4,99.865,69.0,7.955,1.4000000000000001
3683.5,100.225,69.0,7.85,1.4000000000000001
3683.6,99.76,69.0,7.53,1.45
3683.7,99.63,69.0,7.49,1.5
3683.8,99.68,69.0,7.55,1.5
3683.9,99.825,69.0,7.625,1.4000000000000001
3684.0,99.565,69.0,7.24,1.2
3684.1,99.35,69.0,7.26,1.0
3684.2,99.72,69.0,7.22,1.0
3684.3,99.51,69.0,7.324999999999999,1.5
3684.4,100.08,69.0,7.27,1.5
3684.5,99.35,69.0,7.34,1.5
3684.6,99.635,69.0,7.74,1.5
3684.7,99.56,69.0,8.84,1.5
3684.8,99.19,69.0,5.315,1.0
3684.9,99.335,69.0,6.305,0.5
3685.0,99.36,69.0,6.904999999999999,0.95
3685.1,99.285,69.0,7.065,1.4000000000000001
3685.2,99.14,69.0,7.39,1.4000000000000001
3685.3,99.32,69.0,7.46,1.4000000000000001
3685.4,99.145,69.0,7.31,1.45
3685.5,98.82,69.0,8.07,1.5
3685.6,98.96,69.0,8.02,1.45
3685.7,99.17,69.0,7.75,1.4000000000000001
3685.8,99.085,69.0,7.800000000000001,1.4000000000000001
3685.9,99.13,69.0,7.955,1.5
3686.0,99.195,69.0,7.955,1.5
3686.1,98.975,69.0,7.93,1.4000000000000001
3686.2,98.75,69.0,7.8,1.4000000000000001
3686.3,98.845,69.0,7.65,1.4000000000000001
3686.4,98.88,69.0,7.15,1.45
3686.5,99.03,69.0,6.965,1.5
3686.6,98.935,69.0,6.715,1.5
3686.7,98.88,69.0,6.890000000000001,1.5
3686.8,98.885,69.0,7.0,1.45
3686.9,98.43,69.0,7.215,1.4000000000000001
3687.0,98.73,69.0,7.6,1.4000000000000001
3687.1,98.51,69.0,7.555,1.4000000000000001
3687.2,98.22,69.0,7.43,1.45
3687.3,98.63,69.0,7.5,1.5
3687.4,98.46,69.0,7.595,1.45
3687.5,99.125,69.0,7.66,1.4000000000000001
3687.6,98.76,69.0,7.475,1.45
3687.7,98.635,69.0,7.4,1.5
3687.8,98.51,69.0,7.35,1.45
3687.9,98.3,69.0,8.8,1.4000000000000001
3688.0,98.24,69.0,10.01,1.4000000000000001
3688.1,98.8,69.0,7.44,1.2
3688.2,98.37,69.0,7.14,1.05
3688.3,98.145,69.0,7.115,0.8999999999999999
3688.4,97.98,69.0,7.52,0.8999999999999999
3688.5,98.4,69.0,7.64,1.4000000000000001
3688.6,97.95,69.0,7.46,1.4000000000000001
3688.7,98.47,69.0,7.46,1.4000000000000001
3688.8,98.095,69.0,7.355,1.4000000000000001
3688.9,97.74,69.0,7.03,1.3
3689.0,98.27,69.0,7.09,1.3
3689.1,98.225,69.0,7.109999999999999,1.4000000000000001
3689.2,98.28,69.0,7.879999999999999,1.35
3689.3,98.55,69.0,8.75,1.3
3689.4,98.18,69.0,8.82,1.3
3689.5,97.965,69.0,8.14,1.4000000000000001
3689.6,98.07,69.0,7.685,1.35
3689.7,97.96,69.0,8.28,1.3
3689.8,97.725,69.0,9.38,1.35
3689.9,98.2,69.0,8.22,1.4000000000000001
3690.0,97.74,69.0,7.34,1.4000000000000001
3690.1,97.9,69.0,7.76,1.1
3690.2,97.7,69.0,7.85,1.2
3690.3,97.64,69.0,7.56,0.5
3690.4,97.62,69.0,7.21,0.5
3690.5,98.07,69.0,6.7,1.2
3690.6,97.67,69.0,6.505000000000001,1.2
3690.7,97.265,69.0,6.215,1.2
3690.8,97.62,69.0,6.494999999999999,1.2
3690.9,97.675,69.0,6.52,1.2
3691.0,97.405,69.0,6.315,1.2
3691.1,97.575,69.0,6.725,1.2
3691.2,96.99,69.0,8.17,1.3
3691.3,97.77,69.0,8.69,1.3
3691.4,97.21,69.0,8.075,1.35
3691.5,97.23,69.0,8.245000000000001,1.4000000000000001
3691.6,97.585,69.0,8.59,1.4000000000000001
3691.7,97.22,69.0,8.17,1.4000000000000001
3691.8,97.5,69.0,8.01,1.4000000000000001
3691.9,97.6,69.0,7.61,1.4000000000000001
3692.0,97.75,69.0,7.385,1.4000000000000001
3692.1,97.14,69.0,6.96,1.4000000000000001
3692.2,97.48,69.0,6.74,1.4000000000000001
3692.3,97.34,69.0,7.07,1.4000000000000001
3692.4,97.355,69.0,7.49,1.4000000000000001
3692.5,96.98,69.0,7.49,1.4000000000000001
3692.6,97.27,69.0,7.43,1.35
3692.7,96.95,69.0,7.33,1.3
3692.8,97.065,69.0,7.275,1.3
3692.9,97.34,69.0,7.31,1.4000000000000001
3693.0,97.69,69.0,7.71,1.4000000000000001
3693.1,97.35,69.0,7.415,1.4000000000000001
3693.2,95.53,69.0,5.455,1.25
3693.3,95.605,69.0,5.89,1.1
3693.4,95.625,69.0,6.125,1.4000000000000001
3693.5,95.925,69.0,6.57,1.7000000000000002
3693.6,95.34,69.0,7.355,1.6
3693.7,95.155,69.0,7.675,1.5
3693.8,95.31,69.0,7.81,1.7999999999999998
3693.9,95.625,69.0,7.6,1.7999999999999998
