MD,TVA,RPMA,WOBA,ROPA
529.6,108.79,79.0,1.63,8.0
529.7,108.77,79.0,1.085,5.300000000000001
529.8,108.275,79.0,0.785,4.0
529.9,108.2,79.0,0.6100000000000001,2.7
530.0,107.99,79.0,0.575,3.3000000000000003
530.1,108.085,79.0,0.6799999999999999,3.3000000000000003
530.2,107.71,79.0,0.8,4.4
530.3,108.045,79.0,0.8200000000000001,4.4
530.4,108.44,79.0,0.785,5.05
530.5,108.46,79.0,0.77,5.2
530.6,108.125,79.0,0.755,5.300000000000001
530.7,108.33,79.0,0.78,5.300000000000001
530.8,107.85,79.0,0.86,6.000000000000001
530.9,108.385,79.0,0.655,6.000000000000001
531.0,109.15,79.0,0.36,6.6000000000000005
531.1,108.81,79.0,0.3299999999999999,6.2
531.2,108.57,79.0,0.305,6.05
531.3,108.615,79.0,0.3,6.05
531.4,108.4,79.0,0.245,7.3
531.5,108.61,79.0,0.1699999999999999,7.3
531.6,108.46,79.0,0.04,8.299999999999999
531.7,108.13,79.0,0.0799999999999999,8.149999999999999
531.8,107.8,79.0,0.12,8.0
532.0,108.13,79.0,0.105,7.6
532.1,108.46,79.0,0.135,8.25
532.2,108.385,79.0,0.2,7.749999999999999
532.3,108.68,79.0,0.1699999999999999,8.8
532.5,108.37,79.0,0.285,9.65
532.6,108.37,79.0,0.25,8.100000000000001
532.7,108.705,79.0,0.16,9.45
532.9,108.775,79.0,0.18,9.75
533.0,108.795,79.0,0.1,8.100000000000001
533.1,108.49,79.0,0.105,9.95
533.3,108.265,79.0,0.14,9.7
533.4,108.105,79.0,0.17,10.049999999999999
534.0,108.0,79.0,0.78,6.799999999999999
534.1,108.255,79.0,0.755,6.799999999999999
534.2,108.11,79.0,0.72,2.2
534.3,108.29,79.0,0.73,3.0
534.4,108.135,79.0,0.765,4.25
534.5,108.375,79.0,0.73,4.25
534.6,108.435,79.0,0.6950000000000001,5.249999999999999
534.7,108.515,79.0,0.755,5.249999999999999
534.8,108.6,79.0,0.76,5.8999999999999995
534.9,108.105,79.0,0.915,5.8999999999999995
535.0,108.08,79.0,0.905,6.05
535.1,108.115,79.0,0.985,6.05
535.2,108.61,79.0,1.09,6.1
535.3,108.46,79.0,1.01,6.05
