MD,TVA,RPMA,WOBA,ROPA
1757.8,103.97,59.0,2.87,3.5
1758.0,103.64,59.0,3.145,3.75
1758.1,103.51,59.0,3.3,3.75
1758.2,103.18,59.0,3.3200000000000003,4.0
1758.3,102.905,59.0,3.275,4.0
1758.4,102.88,59.0,3.275,4.0
1758.5,102.57,59.0,3.19,4.0
1758.6,102.63,59.0,3.46,7.6
1758.7,102.58,59.0,3.495,7.6
1758.8,102.57,59.0,3.425,7.6
1758.9,102.505,59.0,3.2750000000000004,7.6
1759.0,102.49,59.0,3.1,7.6
1759.1,102.495,59.0,3.24,7.7
1759.2,102.36,59.0,3.1,7.800000000000001
1759.3,101.51,59.0,0.01,7.800000000000001
1759.4,101.535,59.0,0.34,7.800000000000001
1759.5,101.385,59.0,0.92,7.800000000000001
1759.6,101.23,59.0,1.68,3.1
1759.7,101.16,59.0,2.175,3.1
1759.8,101.15,59.0,2.83,3.1
1759.9,101.11,59.0,2.745,3.1
1760.0,100.97,59.0,2.34,4.699999999999999
1760.1,100.94,59.0,2.2750000000000004,6.3
1760.2,101.33,59.0,2.42,6.3
1760.3,100.785,59.0,2.4850000000000003,6.3
1760.4,100.78,59.0,2.345,6.3
1760.5,100.77,59.0,2.25,6.35
1760.6,100.74,59.0,2.22,6.4
1760.7,100.61,59.0,2.26,6.4
1760.8,100.525,59.0,2.295,6.4
1760.9,100.345,59.0,2.225,6.4
1761.0,100.29,59.0,2.1500000000000004,6.15
1761.1,100.35,59.0,2.145,5.8999999999999995
1761.2,100.195,59.0,2.285,5.8999999999999995
1761.3,99.84,59.0,2.61,5.8999999999999995
1761.4,99.74,59.0,3.04,5.8999999999999995
1761.5,99.82,59.0,2.93,5.8999999999999995
1761.6,99.4,59.0,2.465,5.0
1761.7,99.31,59.0,2.3600000000000003,5.0
1761.8,99.35,59.0,2.37,5.0
1761.9,99.275,59.0,2.43,5.0
1762.0,98.71,59.0,2.86,5.0
1762.1,98.91,59.0,2.68,5.5
1762.2,98.71,59.0,2.5250000000000004,5.5
1762.3,98.535,59.0,2.9450000000000003,5.5
1762.4,98.275,59.0,3.09,5.5
1762.5,98.255,59.0,3.45,5.949999999999999
1762.6,98.345,59.0,3.51,5.949999999999999
1762.7,98.155,59.0,3.63,6.4
1762.8,98.125,59.0,3.675,6.4
1762.9,98.05,59.0,3.71,6.4
1763.0,97.9,59.0,3.635,6.550000000000001
1763.1,97.95,59.0,3.5,6.7
1763.2,97.93,59.0,3.65,6.7
1763.3,97.83,59.0,3.505,6.7
1763.4,97.49,59.0,3.265,6.7
1763.5,97.345,59.0,3.215,6.8999999999999995
1763.6,97.54,59.0,3.235,6.8999999999999995
1763.7,97.395,59.0,3.19,7.1
1763.8,97.25,59.0,3.045,7.1
1763.9,97.165,59.0,2.945,7.1
1764.0,97.4,59.0,2.89,7.1
1764.1,97.315,59.0,2.8,6.75
1764.2,97.175,59.0,2.585,6.4
1764.3,97.03,59.0,2.52,6.4
1764.4,96.95,59.0,2.655,6.4
1764.5,97.15,59.0,2.69,6.4
1764.6,96.84,59.0,2.95,6.800000000000001
1764.7,96.84,59.0,2.925,6.800000000000001
1764.8,96.895,59.0,2.795,6.800000000000001
1764.9,96.985,59.0,2.865,6.800000000000001
1765.0,96.59,59.0,0.025,5.25
1765.1,96.665,59.0,0.66,3.7
1765.2,96.655,59.0,1.0,3.7
1765.3,96.44,59.0,2.025,3.7
1765.4,96.44,59.0,2.56,3.7
1765.5,96.45,59.0,2.79,3.7
1765.6,96.345,59.0,2.655,4.2
1765.7,96.285,59.0,2.535,4.699999999999999
1765.8,96.39,59.0,2.64,4.699999999999999
1765.9,96.55,59.0,2.65,4.699999999999999
1766.0,96.19,59.0,2.7,4.699999999999999
1766.1,96.095,59.0,2.71,5.6499999999999995
1766.2,96.485,59.0,2.71,6.6000000000000005
1766.3,96.82,59.0,2.655,6.6000000000000005
1766.4,96.5,59.0,2.74,6.6000000000000005
1766.5,96.07,59.0,2.625,6.4
1766.6,96.57,59.0,1.88,6.2
1766.7,96.38,59.0,1.48,6.2
1766.8,95.845,59.0,1.01,6.2
1766.9,95.91,59.0,0.8,6.2
1767.0,95.465,59.0,1.16,4.6499999999999995
1767.1,94.955,59.0,1.125,3.1
1767.2,95.0,59.0,1.68,3.1
1767.3,94.86,59.0,2.125,3.1
1767.4,94.62,59.0,2.64,3.1
1767.5,94.355,59.0,3.095,4.3
1767.6,94.22,59.0,3.38,4.3
1767.7,94.215,59.0,3.72,5.5
1767.8,94.025,59.0,3.71,5.5
1767.9,94.01,59.0,3.62,5.5
1768.0,94.04,59.0,3.795,6.8500000000000005
1768.1,94.14,59.0,3.2,8.2
1768.2,94.12,59.0,2.5,8.2
1768.3,94.325,59.0,2.46,8.2
1768.4,94.55,59.0,2.27,8.2
1768.5,94.63,59.0,2.505,7.05
1768.6,94.57,59.0,2.64,5.8999999999999995
1768.7,94.51,59.0,2.58,5.8999999999999995
1768.8,94.345,59.0,2.7,5.8999999999999995
1768.9,94.4,59.0,2.81,5.8999999999999995
1769.0,94.47,59.0,2.8600000000000003,6.75
1769.1,94.31,59.0,2.75,7.6
1769.2,94.28,59.0,2.68,7.6
1769.3,94.255,59.0,2.605,7.6
1769.4,94.485,59.0,2.635,7.6
1769.5,94.43,59.0,2.67,7.7
1769.6,94.295,59.0,2.725,7.7
1769.7,94.36,59.0,2.84,7.800000000000001
1769.8,94.33,59.0,2.935,7.800000000000001
1769.9,94.25,59.0,3.12,7.800000000000001
1770.0,94.24,59.0,3.155,7.800000000000001
1770.1,94.27,59.0,3.1,8.4
1770.2,94.305,59.0,2.755,8.4
1770.3,94.33,59.0,2.395,8.4
1770.4,94.205,59.0,2.395,8.4
1770.5,94.295,59.0,2.785,7.9
1770.6,94.3,59.0,3.02,7.4
1770.7,94.175,59.0,2.045,7.4
1770.8,94.19,59.0,1.5499999999999998,7.4
1770.9,94.245,59.0,2.3,7.4
1771.0,94.3,59.0,2.4850000000000003,6.5
1771.1,94.35,59.0,2.495,6.5
1771.2,94.335,59.0,2.66,5.6000000000000005
1771.3,94.23,59.0,2.895,5.6000000000000005
1771.4,94.22,59.0,2.865,5.6000000000000005
1771.5,94.34,59.0,2.755,6.100000000000001
1771.6,94.315,59.0,2.9,6.100000000000001
1771.7,94.345,59.0,2.31,6.6000000000000005
1771.8,94.39,59.0,2.0,6.6000000000000005
1771.9,94.3,59.0,2.655,6.6000000000000005
1772.0,94.49,59.0,2.59,6.6000000000000005
1772.1,94.39,59.0,2.53,5.6000000000000005
1772.2,94.44,59.0,2.535,5.6000000000000005
1772.3,94.49,59.0,2.39,5.6000000000000005
1772.4,94.54,59.0,2.575,5.6000000000000005
1772.5,94.495,59.0,2.91,5.9
1772.6,94.355,59.0,3.115,6.2
1772.7,94.25,59.0,3.325,6.2
1772.8,94.42,59.0,3.345,6.2
1772.9,94.32,59.0,3.19,6.2
1773.0,94.475,59.0,3.04,6.6
1773.1,94.42,59.0,2.89,7.0
1773.2,94.255,59.0,2.74,7.0
1773.3,94.205,59.0,2.705,7.0
1773.4,94.225,59.0,2.755,7.0
1773.5,94.135,59.0,2.75,6.949999999999999
1773.6,93.865,59.0,2.655,6.8999999999999995
1773.7,93.615,59.0,2.535,6.8999999999999995
1773.8,93.49,59.0,2.435,6.8999999999999995
1773.9,93.38,59.0,2.5,6.8999999999999995
1774.1,93.155,59.0,2.7750000000000004,7.25
1774.2,93.11,59.0,2.91,7.6
1774.3,92.905,59.0,3.0,7.6
1774.4,92.58,59.0,2.955,7.6
1774.5,92.675,59.0,3.19,8.25
1774.6,92.435,59.0,3.515,8.25
1774.7,92.45,59.0,3.79,8.9
1774.8,92.135,59.0,4.324999999999999,8.9
1775.0,91.6,59.0,4.53,8.9
1775.1,91.615,59.0,4.53,9.549999999999999
1775.2,91.595,59.0,4.555,10.2
1775.3,91.6,59.0,4.5600000000000005,10.2
1775.4,91.435,59.0,4.555,10.2
1775.5,91.2,59.0,4.58,10.700000000000001
1775.6,91.03,59.0,4.58,10.700000000000001
1775.7,91.015,59.0,4.705,11.200000000000001
1775.8,90.725,59.0,3.69,11.200000000000001
1775.9,90.435,59.0,2.345,11.200000000000001
1776.0,90.33,59.0,2.49,11.200000000000001
1776.1,90.14,59.0,2.965,8.95
1776.3,89.925,59.0,3.205,6.7
1776.4,89.88999999999999,59.0,3.22,6.7
1776.5,89.715,59.0,3.225,7.250000000000001
1776.6,89.445,59.0,3.245,7.800000000000001
1776.7,89.19,59.5,3.24,7.800000000000001
1776.8,89.0,59.0,3.18,7.800000000000001
1776.9,88.78,59.0,3.02,7.800000000000001
1777.0,88.6,59.0,2.955,7.35
1777.1,88.48,59.0,2.685,6.8999999999999995
1777.2,88.26,59.0,2.39,6.8999999999999995
1777.3,87.78,59.0,1.24,6.8999999999999995
1777.4,87.72,59.0,0.625,6.8999999999999995
1777.5,87.435,59.0,0.045,6.8999999999999995
1777.6,87.215,59.0,0.08,6.05
1777.7,87.145,59.0,0.25,5.2
1777.8,86.78999999999999,59.0,0.41,5.2
1777.9,86.52,59.0,0.42,5.2
1778.0,86.44,59.0,0.4549999999999999,5.949999999999999
1778.1,86.175,59.0,0.47,6.7
1778.3,85.85,59.0,0.415,6.7
1778.4,85.38499999999999,59.0,0.255,6.7
1778.5,85.13499999999999,59.0,0.27,6.950000000000001
1778.6,85.15,59.0,0.265,6.950000000000001
1778.7,84.875,59.0,0.245,7.199999999999999
1778.8,84.67,59.0,0.505,7.199999999999999
1778.9,84.37,59.0,0.8,7.199999999999999
1779.0,84.15,59.0,0.935,7.199999999999999
