MD,TVA,RPMA,WOBA,ROPA
186.1,133.245,69.0,1.75,6.0
186.2,133.515,69.0,1.585,5.300000000000001
186.3,133.615,69.0,1.705,4.6000000000000005
186.4,133.91,69.0,1.51,4.6000000000000005
186.5,133.64,69.0,1.67,2.5
186.6,134.11,69.0,1.7,2.5
186.7,134.05,69.0,1.72,1.5
186.8,134.59,69.0,1.79,1.5
186.9,134.96,69.0,1.71,1.2
187.0,135.2,69.0,1.92,1.2
187.1,136.01,69.0,2.46,0.8
187.2,136.165,69.0,2.615,0.8
187.3,136.595,69.0,2.355,1.5
187.4,136.64499999999998,69.0,1.36,1.5
187.5,136.51999999999998,69.0,0.6900000000000001,1.85
187.6,136.325,69.0,0.445,2.2
187.7,136.275,69.0,0.01,5.15
187.8,136.41,69.0,0.01,9.350000000000001
187.9,136.62,69.0,0.01,9.350000000000001
188.0,136.555,69.0,0.01,10.600000000000001
188.1,136.445,69.0,0.01,10.35
188.2,136.68,69.0,0.19,9.8
188.3,136.79500000000002,69.0,0.415,9.8
188.4,136.88,69.0,0.49,11.25
188.5,136.875,69.0,0.56,11.25
188.6,136.885,69.0,0.645,13.0
188.7,136.88,69.0,0.385,10.5
188.8,136.96,69.5,0.355,7.4
188.9,137.07999999999998,69.5,0.405,6.800000000000001
189.0,137.10500000000002,69.0,0.4,6.65
189.1,137.09,69.0,0.31,6.5
189.2,137.15,69.0,0.01,6.5
189.4,137.26,69.0,0.01,8.5
189.5,137.325,69.0,0.01,8.5
189.6,137.36,69.0,0.01,11.100000000000001
189.7,137.345,69.0,0.01,10.0
189.8,137.25,69.0,0.01,8.9
189.9,137.03,69.0,0.01,9.5
190.0,137.2,69.0,0.01,12.450000000000001
190.1,136.995,69.0,0.01,12.450000000000001
190.2,137.18,69.0,0.01,14.8
190.3,137.195,69.0,0.01,12.95
190.4,137.225,69.0,0.01,11.35
190.5,137.26,69.0,0.01,11.35
190.6,137.31,69.0,0.01,11.6
190.7,137.35,69.0,0.01,12.7
190.9,137.375,69.0,0.01,13.700000000000001
191.0,137.43,69.0,0.01,13.25
191.1,137.46,69.5,0.01,13.25
191.2,137.5,69.0,0.01,12.4
191.3,137.56,69.5,0.01,12.4
191.4,137.54500000000002,69.0,0.01,12.4
191.5,137.63,69.0,0.01,12.4
191.6,137.76,69.0,0.01,13.049999999999999
191.7,137.77499999999998,69.0,0.01,13.049999999999999
191.8,137.915,69.0,0.01,13.049999999999999
192.0,137.89499999999998,69.0,0.01,13.049999999999999
192.1,137.85500000000002,69.0,0.01,13.049999999999999
192.2,137.775,69.0,0.01,12.1
192.3,137.72000000000003,69.0,0.01,13.35
192.4,137.635,69.0,0.01,14.55
192.5,137.7,69.0,0.01,14.55
192.6,137.70499999999998,69.0,0.01,12.8
192.8,137.825,69.0,0.01,16.7
192.9,137.82999999999998,69.0,0.01,12.8
193.0,138.005,69.0,0.01,15.499999999999998
193.2,137.88,69.0,0.01,15.45
193.3,138.01,69.0,0.01,14.249999999999998
193.4,137.85,69.0,0.01,14.2
193.5,137.785,69.0,0.01,14.249999999999998
193.6,137.785,69.0,0.01,14.2
193.7,137.815,69.0,0.01,14.249999999999998
193.9,137.86,69.0,0.01,14.2
194.0,138.05,69.0,0.01,15.1
194.1,138.05,69.0,0.01,15.1
194.2,138.115,69.0,0.01,15.1
194.3,138.06,69.0,0.01,14.2
194.5,138.07,69.0,0.01,12.6
194.6,138.02,69.0,0.01,12.6
194.7,138.175,69.0,0.01,12.05
194.8,138.09,69.0,0.01,14.25
194.9,138.185,69.0,0.01,15.3
195.0,138.155,69.0,0.01,14.2
195.1,138.22,69.0,0.01,14.2
195.2,138.195,69.0,0.01,11.25
195.3,138.29000000000002,69.0,0.01,11.25
195.4,138.24,69.0,0.01,13.25
195.5,138.195,69.0,0.01,13.25
195.6,138.24,69.0,0.01,13.85
195.7,138.26,69.0,0.01,13.85
195.9,138.335,69.0,0.01,13.700000000000001
196.1,138.32999999999998,69.0,0.01,13.95
196.2,138.33,69.0,0.01,14.6
196.3,138.4,69.0,0.01,12.75
196.4,138.53,69.0,0.34,9.399999999999999
196.5,138.84,69.0,0.24,7.9
196.6,138.945,69.0,0.075,6.3
196.7,138.89,69.0,0.145,4.699999999999999
196.8,138.79500000000002,69.0,0.155,5.1
196.9,138.605,69.0,0.38,5.5
197.0,138.52,69.0,0.18,5.5
197.1,138.59,69.0,0.21,5.300000000000001
197.2,138.28,69.0,0.16,4.1499999999999995
197.3,138.255,69.0,0.235,3.0
197.4,138.265,69.0,0.09,3.75
197.5,138.39,69.0,0.3299999999999999,4.5
197.6,138.495,69.0,0.8400000000000001,4.599999999999999
197.7,138.385,69.0,0.51,4.699999999999999
197.8,138.365,69.0,0.77,4.549999999999999
197.9,138.29500000000002,69.0,0.8200000000000001,4.4
198.0,138.20499999999998,69.0,1.085,5.2
198.1,138.28,69.0,1.83,6.0
198.2,138.16,69.0,1.68,6.0
198.3,137.96499999999995,69.0,1.66,3.3000000000000003
198.4,137.8,69.0,1.97,3.3000000000000003
198.5,138.04000000000002,69.0,2.2350000000000003,2.3000000000000003
198.6,137.99,69.0,2.0,2.3000000000000003
198.7,137.98,69.0,2.21,1.7000000000000002
198.8,137.7,69.0,2.4,1.7000000000000002
198.9,137.98,69.0,2.45,1.6
199.0,137.85,69.0,2.45,1.6
199.1,137.57999999999998,69.0,2.39,1.9
199.2,137.86,69.0,2.4450000000000003,2.1
199.3,137.69,69.0,2.335,2.3000000000000003
199.4,137.61,69.0,2.36,2.3000000000000003
199.5,137.55,69.0,2.44,2.8000000000000003
199.6,137.65,69.0,2.405,2.9499999999999997
199.7,137.675,69.0,2.4400000000000004,3.1
199.8,137.6,69.0,2.46,3.1
199.9,137.63,69.0,2.43,3.0
200.0,137.65,69.0,2.24,3.0
200.1,137.53,69.0,2.085,2.8000000000000003
200.2,137.46,69.0,2.38,2.8000000000000003
200.3,137.53500000000005,69.0,2.345,3.8
200.4,137.6,69.0,2.44,3.8
200.5,137.575,69.0,2.325,4.0
200.6,137.525,69.0,2.505,4.0
200.7,137.34,69.0,2.35,4.699999999999999
200.8,137.21,69.0,2.58,1.7000000000000002
200.9,137.24,69.0,2.535,1.7000000000000002
201.0,137.31,69.0,2.32,1.7000000000000002
201.1,137.29500000000002,69.0,1.2,1.9
201.2,137.27,69.0,0.61,4.0
201.3,137.26,69.0,0.56,6.1
201.4,137.195,69.0,0.69,6.799999999999999
201.5,137.10500000000002,69.0,1.115,7.5
201.6,137.26,69.0,1.59,7.5
201.7,137.21499999999995,69.0,2.05,2.9
201.8,137.2,69.0,2.46,2.9
201.9,136.83,69.0,2.38,2.2
202.0,136.84,69.0,2.42,1.1
202.1,136.93,69.0,2.21,1.1
202.2,136.79,69.0,2.53,1.5
202.3,136.81,69.0,1.5950000000000002,1.5
202.4,136.75,69.0,1.9,1.6
202.5,136.61,69.0,2.14,1.7000000000000002
202.6,136.62,69.0,1.5699999999999998,1.7000000000000002
202.7,136.575,69.0,2.425,2.4
202.8,136.60000000000002,69.0,1.53,2.4
202.9,136.54,69.0,1.6949999999999998,3.5
203.0,136.34,69.0,2.07,3.5
203.1,136.57,69.0,2.29,2.8000000000000003
203.2,136.53,69.0,1.75,2.75
203.3,136.28,69.0,1.19,2.7
203.4,136.16,69.0,1.5,3.399999999999999
203.5,136.14,69.0,1.88,4.1
203.6,136.22,69.0,2.0700000000000003,4.1
203.7,136.04,69.0,2.0,3.7
203.8,136.27,69.0,1.96,3.7
203.9,139.49,34.5,1.0,1.3
204.0,142.79500000000002,35.0,0.005,1.35
204.1,142.3,70.0,0.01,1.4000000000000001
204.2,142.22,69.0,0.85,1.4000000000000001
204.3,141.63,69.5,0.965,2.5
204.4,141.57,70.0,0.94,2.5
204.5,141.685,70.0,0.905,3.05
204.6,141.55,69.5,0.92,3.5999999999999996
204.7,141.385,69.0,0.985,4.75
204.8,141.27499999999998,69.0,1.01,5.8999999999999995
204.9,141.135,69.0,1.165,7.1499999999999995
205.0,140.985,69.5,1.375,8.4
205.1,140.66,69.0,1.155,7.0
205.2,140.38,69.5,1.355,4.9
205.3,139.825,69.0,1.4249999999999998,2.8000000000000003
205.4,139.76,70.0,1.38,2.8000000000000003
205.5,139.67,70.0,1.11,3.5999999999999996
205.6,139.125,69.5,1.055,4.0
205.7,139.37,69.0,1.2999999999999998,4.4
205.8,139.45,70.0,1.53,4.8
205.9,139.685,69.0,1.57,4.8
206.0,139.62,69.0,1.5950000000000002,4.050000000000001
206.1,139.16,69.0,2.47,3.3000000000000003
206.2,139.85500000000002,69.5,2.405,3.05
206.3,139.87,69.5,2.13,2.8000000000000003
206.4,140.24,74.0,1.98,2.8000000000000003
206.5,140.27499999999998,79.5,1.93,2.8000000000000003
206.6,140.33499999999998,80.0,1.935,3.55
206.7,139.71,80.0,2.1,4.3
206.8,139.91500000000002,80.0,2.425,4.599999999999999
206.9,139.51999999999998,80.0,2.225,4.9
207.0,139.845,80.0,2.1950000000000003,4.25
207.1,139.905,80.0,2.1500000000000004,3.5999999999999996
207.2,139.81,80.0,2.435,4.85
207.3,139.84,80.0,2.71,6.1
207.4,139.53,80.0,2.745,5.6000000000000005
207.5,139.77,80.0,2.62,5.1
207.6,139.515,80.0,2.605,4.8
207.7,139.67000000000002,80.0,2.6500000000000004,4.5
207.8,139.535,80.0,2.66,4.5
207.9,139.79,80.0,2.7,4.4
208.0,139.89,80.0,2.67,4.95
208.1,139.47,80.0,2.6950000000000003,5.5
208.2,139.18,80.0,2.675,5.2
208.3,139.345,80.0,2.58,4.9
208.4,139.63,80.0,2.51,5.0
208.5,139.17,80.0,2.57,5.1
208.6,139.4,80.0,2.63,5.1
208.7,139.22,80.0,2.08,5.3500000000000005
208.8,139.22,80.0,0.86,5.6000000000000005
208.9,139.32,80.0,1.055,5.800000000000001
209.0,139.3,80.0,1.6,6.699999999999999
209.1,139.3,80.0,1.92,6.699999999999999
209.2,138.97500000000002,80.0,2.565,6.65
209.3,138.965,80.0,2.59,6.65
209.4,138.96,80.0,2.33,5.8999999999999995
209.5,139.26,80.0,2.65,6.4
209.6,138.975,80.0,2.59,6.1
209.7,138.815,80.0,2.58,5.8
209.8,139.035,80.0,2.61,5.8
209.9,139.32,80.0,2.81,5.699999999999999
210.0,139.325,80.0,2.69,5.699999999999999
210.1,139.07,80.0,2.5,4.1
210.2,138.94,80.0,2.54,4.1
210.3,139.125,80.0,2.495,4.6000000000000005
210.4,139.015,80.0,2.21,5.25
210.5,138.565,80.0,1.86,5.8999999999999995
210.6,138.765,80.0,1.87,6.399999999999999
210.7,138.82,80.0,2.135,6.8999999999999995
210.8,138.745,80.0,2.48,6.75
210.9,138.905,80.0,2.62,6.6000000000000005
211.0,138.775,80.0,2.6100000000000003,5.6499999999999995
211.1,138.63,80.0,2.54,4.699999999999999
211.2,138.75,80.0,2.44,4.3
211.3,138.965,80.0,2.425,3.9000000000000004
211.4,138.66,80.0,2.53,3.9000000000000004
211.5,138.815,80.0,2.425,3.9000000000000004
211.6,138.64,80.0,2.395,3.9000000000000004
211.7,138.51,80.0,2.18,4.1
211.8,138.345,80.0,1.905,4.499999999999999
211.9,138.56,80.0,1.805,4.9
212.0,138.72,80.0,2.16,5.800000000000001
212.1,138.495,80.0,2.415,6.7
212.2,138.58,80.0,2.42,6.7
212.3,138.54000000000002,80.0,2.225,5.4
212.4,138.6,80.0,2.07,5.4
212.5,138.38,80.0,1.695,6.15
212.6,138.39499999999998,80.0,1.935,6.8999999999999995
212.7,138.37,80.0,2.24,6.8999999999999995
212.8,138.32,80.0,2.635,6.25
212.9,138.525,80.0,2.685,5.6000000000000005
213.0,138.29000000000002,80.0,2.425,5.6000000000000005
213.1,138.54000000000002,80.0,2.28,3.9000000000000004
213.2,138.36,80.0,2.465,4.050000000000001
213.3,138.3,80.0,2.5,4.2
213.4,138.27,80.0,2.37,4.2
213.5,138.325,80.0,1.515,4.4
213.6,138.04500000000002,80.0,1.105,5.45
213.7,138.10500000000002,80.0,0.825,6.5
213.8,138.26,80.0,1.35,6.5
213.9,138.45499999999998,80.0,1.855,6.15
214.0,138.39,80.0,2.07,5.8
214.1,138.20499999999998,80.0,2.2350000000000003,6.4
214.2,138.275,80.0,1.925,6.4
214.3,138.16500000000002,80.0,1.495,6.799999999999999
214.4,138.05,80.0,1.635,7.199999999999999
214.5,137.985,80.0,2.11,7.65
214.6,138.01,80.0,2.365,8.100000000000001
214.7,138.235,80.0,2.525,7.8500000000000005
214.8,138.15,80.0,2.545,7.6
214.9,138.19,80.0,2.5650000000000004,5.8999999999999995
215.0,138.14499999999998,80.0,2.55,5.85
215.1,138.03,80.0,2.47,5.8
215.2,137.82999999999998,80.0,2.37,5.8999999999999995
215.3,138.04,80.0,2.165,6.0
215.4,138.055,80.0,2.12,6.6
215.5,138.115,80.0,2.265,7.199999999999999
215.6,137.97500000000002,80.0,2.535,6.699999999999999
215.7,137.835,80.0,2.46,6.2
215.8,137.83499999999998,80.0,2.21,5.5
215.9,137.87,80.0,1.985,4.8
216.0,137.59,80.0,1.995,4.8
216.1,137.51,80.0,1.94,5.15
216.2,137.605,80.0,2.325,6.25
216.3,137.64499999999998,80.0,2.435,7.0
216.4,137.8,80.0,2.405,6.45
216.5,137.63,80.0,2.25,6.45
216.6,137.755,80.0,1.81,6.499999999999999
216.7,137.76,80.0,1.885,7.1
216.8,137.68,80.0,2.285,6.75
216.9,137.46,80.0,1.43,6.4
217.0,138.27,80.0,1.04,6.4
217.1,137.87,80.0,1.25,3.1
217.2,137.655,80.0,1.445,3.399999999999999
217.3,137.575,80.0,1.39,3.7
217.4,137.64499999999998,80.0,1.41,3.7
217.5,137.485,80.0,1.425,4.5
217.6,137.29,80.0,1.86,4.5
217.7,137.57,80.0,2.095,4.8
217.8,137.39499999999998,80.0,1.87,4.85
217.9,137.43,80.0,1.61,4.9
218.0,137.46499999999995,80.0,1.4500000000000002,5.549999999999999
218.1,137.3,80.0,1.565,6.2
218.2,137.32999999999998,80.0,1.605,6.2
218.3,137.54,80.0,1.44,5.9
218.4,137.53,80.0,1.59,6.200000000000001
218.5,137.49,80.0,1.795,6.800000000000001
