MD,TVA,RPMA,WOBA,ROPA
988.3,51.983,86.100045,2.3435745,2.84019
988.4,51.983,86.100045,2.3435745,2.84019
988.5,51.99927,86.42642,2.470154,2.44422
988.6,51.98773,85.87752,2.622059,2.44422
988.7,51.993865,86.064025,2.7161255,2.04825
988.8,51.980905,85.503475,3.1894225,2.04825
988.9,51.99683,86.254745,3.6656455,2.04825
989.0,51.97148,85.1167,2.169693,2.04825
989.1,51.96623,85.318035,1.6396335,1.9225
989.2,51.9756,86.231445,1.672943,1.79675
989.3,51.994215,86.31621,1.6441575,1.79675
989.4,51.979585,86.325745,2.5163955,1.79675
989.5,51.987235,85.89872,2.7375905,2.9884500000000003
989.6,51.98006,86.03753,2.84272,4.18015
989.7,51.98546,85.25976,2.723061,4.18015
989.8,51.99313,86.62564,2.517197,4.18015
989.9,51.99211,85.409165,2.779694,4.18015
990.0,52.003,85.85315,2.6749645,4.18015
990.1,51.99629,85.57871,2.808609,2.2614400000000003
990.2,51.983935,85.59884,2.6004755,2.2614400000000003
990.3,51.989005,86.06296,2.727196,2.2614400000000003
990.4,51.98422,86.33105,2.803543,2.2614400000000003
990.5,52.000515,86.133965,2.4580345,2.298935
990.6,51.99825,86.380845,2.8888245,2.298935
990.7,52.002605,85.92839,2.617794,2.33643
990.8,52.012905,85.90084,2.9714315,2.33643
990.9,51.999655,86.555695,2.9164085,2.33643
991.0,51.99372,86.57582,2.7326545,2.33643
991.1,51.994425,86.335285,2.6769565,3.3334200000000003
991.2,51.999075,86.058725,2.7173345,3.3334200000000003
991.3,51.997775,85.678315,2.999283,3.3334200000000003
991.4,51.99407,85.97925,2.326389,3.3334200000000003
991.5,51.98918,86.052365,2.561573,3.51877
991.6,51.98757,86.14031,2.709469,3.51877
991.7,51.99435,86.213425,2.942253,3.70412
991.8,51.98636,86.298205,2.5407755,3.70412
991.9,52.00658,85.99832,1.801392,3.70412
992.0,51.99825,86.292905,2.071884,2.70106
992.1,51.981795,86.12654,1.491997,1.698
992.2,51.981465,86.281245,1.939964,1.698
992.3,51.987915,86.230385,1.8766825,1.698
992.4,51.99666,86.105345,2.278683,1.698
992.5,52.002605,85.883885,1.915714,1.698
992.6,51.996305,86.09581,2.555168,3.3465299999999996
992.7,52.0005,86.17528,2.160221,3.3465299999999996
992.8,52.005255,86.237805,2.479221,4.9950600000000005
992.9,52.01569,86.29396,2.5333175,4.9950600000000005
993.0,52.008785,86.1329,2.5056035,6.273915
993.1,52.006405,86.143495,2.4138035,7.55277
993.2,52.006255,85.947465,2.189808,7.55277
993.3,51.99838,86.150915,2.464699,7.55277
993.4,52.00135,85.894475,2.473362,7.55277
993.5,51.999955,86.192235,2.745716,7.4237
993.6,52.005725,85.876475,2.6893505,7.29463
993.7,51.994725,85.83409,2.31786,7.29463
993.8,51.989295,85.912495,2.398342,7.29463
993.9,51.98754,86.04389,2.554775,7.29463
994.0,51.9876,85.911435,2.49308,6.89458
994.1,51.99809,86.064025,2.4031335,6.89458
994.2,51.99459,85.92839,2.526924,6.494529999999999
994.3,51.99645,86.27594,2.5346525,6.494529999999999
994.4,52.006425,86.342705,2.706543,6.494529999999999
994.5,51.99437,86.37766,2.260563,7.6533549999999995
994.6,52.01053,86.39039,2.088402,7.6533549999999995
994.8,52.023045,86.38509,2.177155,8.81218
994.9,52.001225,84.980015,3.123737,8.81218
995.0,51.99226,85.56069,2.4443095,8.81218
995.1,51.99318,86.429585,2.451767,2.34486
995.2,51.98598,85.784275,1.616974,2.34486
995.3,52.01327,84.981075,1.6223065,2.34486
995.4,52.01416,85.879645,1.809124,2.34486
995.5,52.018355,85.556455,1.683464,2.1563950000000003
995.6,52.011485,85.52784,1.5671425,2.1563950000000003
995.7,52.022295,86.202825,1.9514275,1.96793
995.8,52.012375,86.5737,2.2427065,1.96793
995.9,52.01085,86.182695,2.5469095,1.96793
996.0,52.012435,86.126535,2.67989,3.4368749999999997
996.1,52.01311,86.29608,2.327053,3.4368749999999997
996.2,52.010305,86.21237,2.5598375,4.90582
996.3,52.01815,86.16151,2.3413125,4.90582
996.5,52.034775,86.00575,2.338383,5.77919
996.7,52.020975,86.3141,2.606472,5.77919
996.8,52.025315,85.835145,2.5923465,6.652559999999999
996.9,52.020255,85.927325,2.8633655,6.652559999999999
997.0,52.023565,86.0068,2.3210565,5.49306
997.1,52.011545,86.271705,2.0492325,4.33356
997.2,52.03,86.43383,2.2284545,4.33356
997.3,52.022365,86.670125,1.9787445,4.33356
997.4,52.01192,85.91568,1.773682,4.33356
997.6,52.004895,86.065085,1.981415,5.323985
997.7,52.00091,86.044945,2.1002655,6.3144100000000005
997.8,52.01203,86.286545,2.1273195,6.3144100000000005
997.9,52.022755,86.071435,2.048298,6.3144100000000005
998.0,52.025135,85.860575,2.038437,8.41691
998.2,52.028865,85.69315,1.72757,8.41691
998.5,52.01865,86.117005,2.434452,8.40593
998.6,52.03126,86.36602,2.3577005,6.2924500000000005
998.7,52.03039,86.37979,2.309067,6.2924500000000005
